序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2818,603829,洛凯股份,22.38,-0.75,-0.17,57606.0,129047075.0,3.81,22.86,22.0,22.33,22.55,0.62,3.6,31.33,3.25,3580985060.0,3580985060.0,-0.27,-0.36,33.69,67.51
2819,300880,迦南智能,19.72,-0.75,-0.15,20737.0,40983637.08,1.56,19.94,19.63,19.87,19.87,0.5,1.06,29.25,3.68,3848107162.0,3847696749.0,-0.05,-0.05,-3.48,-9.33
2820,830779,武汉蓝电,42.39,-0.75,-0.32,13190.0,56289332.28,2.81,43.3,42.1,42.75,42.71,0.56,6.58,57.37,7.0,3394367381.0,849207433.0,-0.02,-0.28,-17.03,84.87
2821,000798,中水渔业,7.98,-0.75,-0.06,46641.0,37230951.48,1.87,8.07,7.92,8.05,8.04,0.76,1.27,16.91,6.52,2919552522.0,2919372972.0,0.0,-0.13,8.57,7.69
2822,688051,佳华科技,43.82,-0.75,-0.33,14005.0,61872524.0,5.78,45.6,43.05,44.15,44.15,0.6,1.81,-41.45,4.99,3388775880.0,3388775880.0,-0.02,-0.16,77.62,110.47
2823,600505,西昌电力,13.07,-0.76,-0.1,49730.0,65106315.0,1.59,13.22,13.01,13.17,13.17,0.76,1.36,734.98,3.93,4764897225.0,4764897225.0,0.0,0.0,-4.04,8.2
2824,603022,新通联,10.5,-0.76,-0.08,60773.0,63506981.0,1.89,10.58,10.38,10.57,10.58,0.43,3.04,48.46,2.61,2100000000.0,2100000000.0,0.0,0.0,-14.56,45.43
2825,002439,启明星辰,15.66,-0.76,-0.12,180309.0,284107954.08,1.84,15.92,15.63,15.78,15.78,0.93,2.49,-101.61,1.68,18970527210.0,11358870378.0,0.0,0.0,-1.45,-1.01
2826,002842,翔鹭钨业,10.49,-0.76,-0.08,132333.0,139072748.12,2.18,10.62,10.39,10.53,10.57,0.53,4.93,93.35,3.17,3432038707.0,2816171719.0,0.1,-0.1,27.31,68.92
2827,300386,飞天诚信,18.19,-0.76,-0.14,71653.0,130033631.0,3.27,18.5,17.9,18.33,18.33,0.9,2.86,627.27,5.16,7604220360.0,4561281708.0,0.61,0.61,-17.73,8.27
2828,300184,力源信息,11.75,-0.76,-0.09,851296.0,1021054585.41,4.9,12.28,11.7,11.93,11.84,0.74,8.11,70.53,3.55,13559640084.0,12327949835.0,-0.09,-0.34,18.33,25.94
2829,603348,文灿股份,22.07,-0.76,-0.17,51736.0,114323642.0,1.57,22.31,21.96,22.21,22.24,0.65,1.65,264.7,1.61,6940511627.0,6940511627.0,-0.09,-0.05,6.26,-6.13
2830,000513,丽珠集团,39.25,-0.76,-0.3,54837.0,215492860.71,1.82,39.76,39.04,39.61,39.55,0.74,0.94,13.85,2.59,35485941878.0,22927742589.0,-0.28,-0.3,8.01,6.31
2831,301152,天力锂能,27.36,-0.76,-0.21,36709.0,101680817.37,3.19,28.15,27.27,27.5,27.57,0.72,5.17,-26.68,2.36,3248726592.0,1942543092.0,0.04,-0.07,-5.03,-16.71
2832,600526,菲达环保,5.19,-0.76,-0.04,120607.0,62598258.0,2.1,5.26,5.15,5.21,5.23,0.82,1.67,18.22,1.05,4617559297.0,3740381479.0,0.0,0.0,8.81,18.22
2833,002412,汉森制药,6.48,-0.77,-0.05,89333.0,57864072.2,3.22,6.63,6.42,6.55,6.53,0.78,1.79,23.79,1.45,3260736000.0,3226035600.0,0.15,0.0,4.18,7.82
2834,605199,ST葫芦娃,9.08,-0.77,-0.07,40200.0,36532849.0,1.2,9.16,9.05,9.11,9.15,0.98,1.0,753.8,5.17,3632987468.0,3632987468.0,-0.11,-0.11,0.11,-43.0
2835,002760,凤形股份,20.52,-0.77,-0.16,25940.0,53113815.9,2.03,20.71,20.29,20.51,20.68,0.77,2.4,152.18,2.71,2215928247.0,2215928247.0,0.0,-0.1,8.69,20.71
2836,600223,福瑞达,7.71,-0.77,-0.06,67523.0,52121881.0,1.29,7.78,7.68,7.75,7.77,0.72,0.66,36.3,1.89,7837745255.0,7837745255.0,-0.13,-0.13,-5.63,2.8
2837,688314,康拓医疗,36.12,-0.77,-0.28,11217.0,40652744.0,2.69,36.87,35.89,36.38,36.4,0.91,1.38,26.68,4.31,2934358893.0,2934358893.0,-0.03,0.0,20.96,26.21
2838,301237,和顺科技,46.2,-0.77,-0.36,17592.0,82005413.28,4.53,47.92,45.81,47.22,46.56,1.01,4.48,-129.11,2.81,3696000000.0,1813350000.0,0.02,0.02,66.91,93.31
2839,603822,嘉澳环保,76.2,-0.77,-0.59,27000.0,206157537.0,5.87,79.45,74.94,77.17,76.79,1.28,3.51,-37.41,14.8,5854132513.0,5854132513.0,0.0,0.25,51.79,56.28
2840,600516,方大炭素,5.16,-0.77,-0.04,390022.0,202331996.0,1.35,5.22,5.15,5.2,5.2,0.51,0.97,190.47,1.28,20774007099.0,20774007099.0,-0.19,-0.19,11.69,7.28
