,序号,股票代码,股票简称,纳入时间,行业,行业2,行业3,价格,pe,pettm,pb,股息率,市值,净利同增,上季利增,营收同增,上季营增
63,2,002982.SZ,湘佳股份,2020-05-06,农林牧渔,养殖业,肉鸡养殖,14.55,30.14,93.98,1.86,0.49,29.56,-74.89,-59.95,9.63,15.13
64,3,300967.SZ,晓鸣股份,2021-04-20,农林牧渔,养殖业,肉鸡养殖,22.23,93.05,17.64,5.09,0.89,41.7,2243.97,733.34,58.98,93.65
65,4,002458.SZ,益生股份,2010-08-17,农林牧渔,养殖业,肉鸡养殖,9.64,21.17,45.37,2.54,2.55,106.66,-89.42,-96.64,-5.44,-3.98
66,5,300761.SZ,立华股份,2019-02-25,农林牧渔,养殖业,肉鸡养殖,19.84,10.92,25.66,1.84,3.0,166.11,-75.27,-74.1,6.38,7.02
67,6,301116.SZ,益客食品,2022-01-25,农林牧渔,养殖业,肉鸡养殖,11.47,51.41,,3.49,0.61,51.5,-304.43,-255.03,-10.97,-13.1
68,7,002234.SZ,民和股份,2008-05-23,农林牧渔,养殖业,肉鸡养殖,9.28,,,1.79,,32.38,-6.04,-15.51,-2.02,-5.88
69,8,002746.SZ,仙坛股份,2015-03-02,农林牧渔,养殖业,肉鸡养殖,6.35,26.51,19.02,1.2,3.94,54.64,72.48,344.55,8.72,5.24
70,1,600195.SH,中牧股份,2011-10-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,8.0,115.25,38.1,1.43,0.29,81.69,175.49,30.18,6.32,12.63
71,2,300871.SZ,回盛生物,2020-08-31,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,27.62,,25.94,2.65,0.74,55.88,494.28,325.88,58.92,88.45
72,3,600201.SH,生物股份,2011-10-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,15.88,161.99,175.22,3.23,0.19,176.55,-4.85,-50.84,7.38,1.28
73,4,002688.SZ,金河生物,2012-07-20,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,6.34,48.82,38.98,2.08,1.54,48.92,22.25,51.52,22.86,30.45
74,5,002868.SZ,*ST绿康,2017-05-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,36.1,,,,,56.11,47.39,32.74,-13.21,-9.97
75,6,002141.SZ,贤丰控股,2024-07-31,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,3.96,,,4.92,,40.9,2547.13,638.22,1943.92,2048.03
76,7,603566.SH,普莱柯,2015-05-25,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,14.09,52.54,33.94,1.94,4.21,48.76,47.86,57.12,8.04,15.79
77,8,688526.SH,科前生物,2023-09-25,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,16.25,19.81,16.48,1.82,2.63,75.75,29.62,44.09,10.87,21.67
78,9,688098.SH,申联生物,2023-09-25,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,9.37,,,2.73,,38.48,101.97,62.71,-4.27,-3.68
79,10,300119.SZ,瑞普生物,2011-10-10,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,19.2,29.67,21.33,1.91,1.53,89.23,45.64,57.59,13.5,20.53
80,1,600935.SH,华塑股份,2021-12-03,基础化工,化学原料,氯碱,2.8,,,1.68,,100.65,43.36,15.69,-8.24,-6.46
81,2,000510.SZ,新金路,1993-05-07,基础化工,化学原料,氯碱,15.59,,,8.19,,101.11,-129.38,-15.16,-16.82,-16.27
82,3,601678.SH,滨化股份,2019-07-08,基础化工,化学原料,氯碱,5.3,49.72,49.03,0.95,0.74,109.01,1.63,6.01,47.35,61.36
83,4,603213.SH,镇洋发展,2021-11-18,基础化工,化学原料,氯碱,13.7,31.69,65.52,3.26,1.9,60.55,-66.07,-52.63,-1.96,16.88
84,5,002386.SZ,天原股份,2010-04-19,基础化工,化学原料,氯碱,6.01,,,1.04,,78.23,132.63,48.65,-14.89,-14.12
85,6,000818.SZ,航锦科技,2017-07-03,基础化工,化学原料,氯碱,21.05,,,6.02,,138.93,-62.72,-58.38,1.38,5.84
86,7,601216.SH,君正集团,2011-03-02,基础化工,化学原料,氯碱,5.71,17.18,14.33,1.67,2.63,481.81,24.93,26.82,1.63,8.59
87,8,600319.SH,亚星化学,2019-07-08,基础化工,化学原料,氯碱,8.02,,,7.72,,31.09,-46.4,-54.7,-2.53,-2.89
88,9,601568.SH,北元集团,2020-10-27,基础化工,化学原料,氯碱,4.16,71.57,80.69,1.44,2.4,165.24,-10.88,1.89,-9.91,-8.06
89,10,000635.SZ,英力特,2007-07-03,基础化工,化学原料,氯碱,10.26,,,2.62,,40.44,4.07,-25.92,-6.97,-10.0
90,11,600075.SH,新疆天业,2008-06-03,基础化工,化学原料,氯碱,6.1,152.19,158.93,1.16,0.33,104.15,-28.79,-228.22,2.2,-0.98
91,12,002092.SZ,中泰化学,2006-12-18,基础化工,化学原料,氯碱,6.54,,,0.78,,169.39,48.51,20.0,-5.55,-8.32
92,13,600618.SH,氯碱化工,1992-11-13,基础化工,化学原料,氯碱,15.54,22.82,22.65,1.98,1.35,179.7,1.02,21.09,-5.36,-8.1
93,14,002748.SZ,世龙实业,2021-12-13,基础化工,化学原料,氯碱,12.32,112.98,68.59,2.15,0.41,29.57,72.11,689.39,3.43,4.68
94,1,600714.SH,金瑞矿业,2017-07-03,基础化工,化学原料,无机盐,15.15,124.69,77.06,5.78,0.46,43.66,90.05,231.29,3.35,12.06
95,2,600367.SH,红星发展,2001-03-20,基础化工,化学原料,无机盐,18.73,71.73,45.98,2.58,0.27,63.89,86.78,233.08,-0.14,3.68
96,3,600929.SH,雪天盐业,2021-12-13,基础化工,化学原料,无机盐,6.09,32.87,,1.33,1.43,99.88,-90.37,-78.56,-21.99,-24.57
97,4,603067.SH,振华股份,2016-09-22,基础化工,化学原料,无机盐,35.0,52.61,47.97,7.16,0.39,248.77,12.56,23.62,7.47,10.17
98,5,003017.SZ,大洋生物,2020-11-02,基础化工,化学原料,无机盐,31.81,41.92,28.88,2.49,1.88,26.72,56.12,60.66,11.24,14.2
99,6,301256.SZ,华融化学,2022-03-29,基础化工,化学原料,无机盐,15.95,76.18,85.43,4.48,1.0,76.56,-17.01,-25.3,53.53,48.32
100,7,600328.SH,中盐化工,2000-12-22,基础化工,化学原料,无机盐,8.88,25.1,4929.71,1.08,1.39,130.21,-89.92,-88.04,-8.32,-5.76
101,8,603663.SH,三祥新材,2021-12-13,基础化工,化学原料,无机盐,39.84,222.59,219.59,12.75,0.19,168.64,1.34,-28.45,0.96,-7.35
102,9,600784.SH,鲁银投资,2025-08-13,基础化工,化学原料,无机盐,7.2,16.14,23.31,1.49,0.92,48.65,-36.48,-27.35,-3.65,-2.62
103,10,603299.SH,苏盐井神,2021-12-13,基础化工,化学原料,无机盐,11.22,11.4,16.75,1.42,3.95,87.7,-37.46,-28.51,-17.04,-16.56
104,1,301190.SZ,善水科技,2024-07-31,基础化工,化学原料,其他化学原料,23.12,93.71,71.03,2.54,0.62,49.62,25.13,-11.77,33.78,23.08
105,2,600423.SH,柳化股份,2024-07-31,基础化工,化学原料,其他化学原料,3.9,103.23,508.32,5.57,,31.15,-77.44,-78.01,-13.48,-7.45
106,3,300082.SZ,奥克股份,2021-12-13,基础化工,化学原料,其他化学原料,9.9,,,2.46,,67.33,95.09,101.29,4.93,11.21
107,4,603113.SH,金能科技,2024-05-22,基础化工,化学原料,其他化学原料,7.18,,,0.76,4.94,60.92,-141.22,161.43,4.47,24.13
108,5,600610.SH,中毅达,2021-12-13,基础化工,化学原料,其他化学原料,11.83,,274.88,111.65,,126.73,399.07,351.33,-6.07,-11.24
109,6,301118.SZ,恒光股份,2021-11-25,基础化工,化学原料,其他化学原料,26.92,,,2.21,0.47,29.66,96.92,132.51,29.22,28.7
110,7,002109.SZ,兴化股份,2021-12-13,基础化工,化学原料,其他化学原料,4.23,,,1.32,,53.99,-36.89,25.77,-17.02,-7.18
111,8,002648.SZ,卫星化学,2022-08-01,基础化工,化学原料,其他化学原料,22.67,12.58,12.45,2.38,2.2,763.67,1.69,33.44,7.73,20.93
112,9,603938.SH,三孚股份,2022-08-01,基础化工,化学原料,其他化学原料,25.26,151.54,124.9,3.89,0.07,96.65,26.92,-5.6,15.2,11.18
113,10,300927.SZ,江天化学,2021-01-14,基础化工,化学原料,其他化学原料,34.86,16.9,18.5,5.23,0.26,50.32,-75.84,-98.97,112.58,113.64
114,11,000691.SZ,*ST亚太,2026-01-06,基础化工,化学原料,其他化学原料,8.71,,,,,42.24,-81.39,-67.13,1.2,-8.88
115,12,001217.SZ,华尔泰,2021-10-13,基础化工,化学原料,其他化学原料,12.94,48.94,145.8,1.91,0.77,42.94,-72.61,-58.75,26.07,21.68
116,13,600955.SH,维远股份,2021-09-24,基础化工,化学原料,其他化学原料,19.5,189.53,,1.27,0.15,107.25,-304.14,-568.79,-6.4,1.82
117,14,301069.SZ,凯盛新材,2021-10-11,基础化工,化学原料,其他化学原料,24.9,201.55,94.43,5.13,0.37,112.84,121.56,63.83,11.22,7.66
118,1,000990.SZ,诚志股份,2000-07-13,基础化工,化学原料,煤化工,8.28,43.64,86.95,0.56,0.6,100.62,-52.58,-89.78,5.66,5.65
119,2,600623.SH,华谊集团,1999-12-30,基础化工,化学原料,煤化工,9.61,22.4,29.04,0.92,1.88,204.0,-42.68,1.5,-5.02,-2.52
120,3,600746.SH,江苏索普,1999-12-30,基础化工,化学原料,煤化工,7.65,41.99,67.92,1.64,0.64,89.34,-39.21,-13.01,-5.74,-1.08
121,4,600844.SH,金煤科技,1999-12-30,基础化工,化学原料,煤化工,3.15,,,22.92,,32.02,55.28,34.89,17.17,18.49
122,5,600722.SH,金牛化工,2022-08-01,基础化工,化学原料,煤化工,8.09,104.59,110.76,4.46,,55.04,-7.52,1.65,-0.75,-1.42
123,6,600989.SH,宝丰能源,2019-05-23,基础化工,化学原料,煤化工,22.54,26.08,15.38,3.6,3.05,1652.94,97.27,73.02,46.43,35.05
124,7,000830.SZ,鲁西化工,1999-12-30,基础化工,化学原料,煤化工,17.46,16.39,22.51,1.75,2.01,332.49,-35.03,-34.81,1.57,4.98
125,8,002274.SZ,华昌化工,2022-08-01,基础化工,化学原料,煤化工,6.32,11.54,,1.11,4.75,60.19,-101.6,-97.58,-22.13,-24.03
126,1,000545.SZ,金浦钛业,2013-07-29,基础化工,化学原料,钛白粉,2.95,,,3.19,,29.11,-325.09,-829.71,-23.68,-18.5
127,2,002145.SZ,钛能化学,2007-08-10,基础化工,化学原料,钛白粉,5.15,34.69,45.23,1.62,0.3,196.04,-29.4,-14.83,11.97,19.66
128,3,002601.SZ,龙佰集团,2011-07-22,基础化工,化学原料,钛白粉,20.99,23.08,39.12,2.16,2.84,500.45,-34.68,-19.53,-6.86,-3.34
129,4,300891.SZ,惠云钛业,2020-09-24,基础化工,化学原料,钛白粉,9.65,873.15,,3.04,0.1,38.6,-191.38,-73.17,7.92,5.18
130,5,002136.SZ,安纳达,2007-06-06,基础化工,化学原料,钛白粉,12.93,246.99,,2.46,,27.8,-213.57,-158.08,-6.03,-10.51
131,6,600727.SH,鲁北化工,2011-08-19,基础化工,化学原料,钛白粉,7.46,15.11,58.65,1.23,0.67,39.43,-81.7,-46.62,-5.86,-8.43
132,1,603110.SH,东方材料,2017-10-20,基础化工,化学制品,涂料油墨,17.31,249.56,782.24,5.0,0.29,34.83,-74.86,-88.48,-7.41,-5.06
133,2,300225.SZ,*ST金泰,2011-06-08,基础化工,化学制品,涂料油墨,5.09,78.29,87.11,2.8,0.39,24.2,-15.1,-32.98,8.4,5.66
134,3,688129.SH,东来技术,2023-09-25,基础化工,化学制品,涂料油墨,23.69,33.68,32.29,3.02,0.58,28.54,5.61,22.12,5.84,12.22
135,4,301037.SZ,保立佳,2021-12-13,基础化工,化学制品,涂料油墨,16.15,,,3.54,,22.45,110.21,136.26,-18.35,-17.23
136,5,300758.SZ,七彩化学,2019-03-01,基础化工,化学制品,涂料油墨,17.89,58.14,93.02,4.06,,72.64,-38.96,-21.91,-3.04,2.75
137,6,300665.SZ,飞鹿股份,2017-06-20,基础化工,化学制品,涂料油墨,8.84,,,3.5,,19.35,0.41,18.97,23.98,48.77
138,7,603823.SH,百合花,2016-12-27,基础化工,化学制品,涂料油墨,17.14,40.54,42.57,2.94,0.88,71.37,-5.84,-0.67,-8.58,-7.83
139,8,301209.SZ,联合化学,2022-09-01,基础化工,化学制品,涂料油墨,93.04,184.66,174.36,13.65,0.15,104.2,7.56,21.62,-1.31,4.15
140,9,002319.SZ,乐通股份,2009-12-21,基础化工,化学制品,涂料油墨,15.55,,,17.93,,32.57,97.97,82.83,-0.2,0.8
141,10,688571.SH,杭华股份,2023-09-25,基础化工,化学制品,涂料油墨,7.88,24.04,29.39,2.08,2.47,33.42,-25.0,-22.38,-1.62,-3.0
142,11,001335.SZ,信凯科技,2025-04-22,基础化工,化学制品,涂料油墨,53.68,45.35,48.91,5.24,0.28,50.32,-11.21,18.47,-2.85,4.91
143,12,301036.SZ,双乐股份,2021-08-05,基础化工,化学制品,涂料油墨,35.07,29.06,47.96,2.12,0.57,35.07,-49.03,-32.95,-4.94,-8.44
144,13,000565.SZ,渝三峡Ａ,2011-10-10,基础化工,化学制品,涂料油墨,8.43,837.03,627.6,2.93,0.18,36.55,9.69,-4.3,7.07,0.96
145,14,603062.SH,麦加芯彩,2023-11-14,基础化工,化学制品,涂料油墨,50.31,25.77,23.0,2.66,3.43,54.33,18.13,48.83,-3.27,17.09
146,15,688157.SH,松井股份,2023-09-25,基础化工,化学制品,涂料油墨,36.97,66.94,143.43,4.28,0.45,57.83,-64.68,-69.84,5.05,7.48
147,16,300522.SZ,世名科技,2018-07-16,基础化工,化学制品,涂料油墨,12.32,175.62,773.3,4.94,0.32,39.73,-48.61,-44.92,2.48,1.33
148,1,002226.SZ,江南化工,2008-06-03,基础化工,化学制品,民爆制品,6.11,18.16,20.09,1.58,1.06,161.85,-11.4,2.17,2.78,3.71
149,2,002360.SZ,同德化工,2010-03-11,基础化工,化学制品,民爆制品,5.32,,,1.07,,21.37,-125.28,-75.76,-20.53,-19.32
150,3,002683.SZ,广东宏大,2012-06-19,基础化工,化学制品,民爆制品,47.8,40.47,40.31,5.45,1.35,363.28,0.54,22.05,55.92,63.83
151,4,002827.SZ,高争民爆,2016-12-16,基础化工,化学制品,民爆制品,34.67,64.83,58.8,9.65,0.43,96.05,13.68,25.7,7.53,6.55
152,5,002037.SZ,保利联合,2008-06-03,基础化工,化学制品,民爆制品,9.09,112.02,,2.34,,43.99,-70.96,-15.32,9.17,24.03
153,6,002497.SZ,雅化集团,2024-07-31,基础化工,化学制品,民爆制品,25.3,113.41,66.8,2.69,0.16,291.6,116.02,32.87,2.07,-13.04
154,7,603977.SH,国泰集团,2018-07-16,基础化工,化学制品,民爆制品,14.56,50.04,59.43,2.7,0.62,90.45,-13.06,-11.14,-6.01,-6.03
155,8,002096.SZ,易普力,2008-06-03,基础化工,化学制品,民爆制品,13.81,24.02,20.56,2.19,1.67,171.3,22.91,16.43,16.7,20.42
156,9,603227.SH,雪峰科技,2015-05-22,基础化工,化学制品,民爆制品,8.7,13.95,20.26,1.83,2.3,93.24,-34.6,-40.64,-8.28,-4.96
157,10,002783.SZ,凯龙股份,2015-12-16,基础化工,化学制品,民爆制品,10.04,33.84,29.27,1.91,1.0,50.14,20.64,64.23,-0.03,6.23
158,11,003002.SZ,壶化股份,2020-09-29,基础化工,化学制品,民爆制品,28.31,40.44,31.11,3.78,0.53,56.62,40.53,53.07,24.64,28.36
159,12,002917.SZ,金奥博,2017-12-15,基础化工,化学制品,民爆制品,14.3,40.06,33.3,2.96,0.69,49.71,23.4,20.91,5.67,10.47
160,13,002246.SZ,北化股份,2017-07-03,基础化工,化学制品,民爆制品,20.35,,54.08,3.74,0.22,111.73,504.8,207.91,41.09,23.82
161,1,002440.SZ,闰土股份,2010-07-14,基础化工,化学制品,纺织化学制品,12.47,65.65,48.74,1.48,1.17,140.16,49.1,43.15,2.25,0.65
162,2,002054.SZ,德美化工,2008-06-03,基础化工,化学制品,纺织化学制品,8.99,71.07,48.51,1.71,0.76,43.34,53.68,16.97,-0.88,-1.45
163,3,300798.SZ,锦鸡股份,2019-11-29,基础化工,化学制品,纺织化学制品,9.14,758.15,,2.55,0.11,42.85,-272.46,-149.76,23.49,27.8
164,4,300107.SZ,建新股份,2021-12-13,基础化工,化学制品,纺织化学制品,7.47,217.08,360.91,2.79,0.21,42.04,-56.36,-54.98,-23.35,-25.98
165,5,603172.SH,万丰股份,2023-05-17,基础化工,化学制品,纺织化学制品,28.02,97.51,66.77,3.44,0.32,37.37,89.99,91.69,10.57,17.32
166,6,301618.SZ,长联科技,2024-10-14,基础化工,化学制品,纺织化学制品,51.65,66.54,97.66,4.98,0.65,46.6,-39.78,-45.05,-2.7,-8.22
167,7,600352.SH,浙江龙盛,2008-06-03,基础化工,化学制品,纺织化学制品,14.36,23.01,22.53,1.37,3.13,467.18,3.23,2.84,-8.85,-6.46
168,8,300067.SZ,安诺其,2010-04-29,基础化工,化学制品,纺织化学制品,5.17,,,2.39,0.19,59.68,-400.98,-263.8,3.78,7.63
169,9,603790.SH,雅运股份,2018-09-19,基础化工,化学制品,纺织化学制品,21.0,70.57,70.13,3.19,0.57,40.19,0.56,4.02,-3.34,0.62
170,10,603188.SH,亚邦股份,2014-09-16,基础化工,化学制品,纺织化学制品,5.16,,,3.83,,29.42,243.05,-76.5,3.87,9.08
