标题,摘要,发布时间,链接
强脑发布针对ADHD多动症儿童的非侵入脑机接口产品,【强脑发布针对ADHD多动症儿童的非侵入脑机接口产品】1月31日，界面新闻记者获悉，非侵入脑机接口企业BrainCo强脑科技发布针对ADHD（注意缺陷与多动障碍，俗称“多动症”）的产品，包括康复训练软件及前额叶单通道脑电采集器，两者已获医疗器械注册证。其技术原理为，基于神经反馈训练技术，通过体表电极采集并解析前额叶的脑电信号，优化脑电节律，提升6-12岁ADHD儿童的注意力与自控力。,2026-01-31 11:13:27,https://finance.eastmoney.com/a/202601313637717549.html
世卫组织：尼帕病毒的全球传播风险低,【世卫组织：尼帕病毒的全球传播风险低】世界卫生组织1月30日通报近期印度出现尼帕病毒病情况，表示当前尼帕病毒的全球传播风险低。,2026-01-31 10:57:25,https://finance.eastmoney.com/a/202601313637704563.html
美国白宫管理和预算办公室指示受影响机构开始执行停摆计划,【美国白宫管理和预算办公室指示受影响机构开始执行停摆计划】当地时间1月30日，央视记者获悉，美国白宫管理和预算办公室主任当日向各部门负责人发出备忘录，指示那些资金将于午夜到期的机构开始为政府停摆做准备。这些机构包括国防部、国土安全部、国务院、财政部、劳工部、卫生与公众服务部、教育部、交通部和住房与城市发展部等。,2026-01-31 10:51:08,https://finance.eastmoney.com/a/202601313637698956.html
全球首款完全仿生机器人全身采用高测股份复合金属腱绳,【全球首款完全仿生机器人全身采用高测股份复合金属腱绳】近日，上海卓益得机器人有限公司发布全球首款完全仿生机器人，从肌腱仿生到运动控制仿生等核心维度，实现对人类生理机能的全方位精准逼近。这款仿生机器人的全身“肌腱”，均由高测股份复合金属腱绳打造，它如同机器人的“柔性筋骨”。根据卓益得内部整机测试数据显示，其行走测试里程已超1200公里、折弯次数突破100万次，复合金属腱绳全程无断裂，充分验证了产品的超高耐用性与稳定性。,2026-01-31 10:49:45,https://finance.eastmoney.com/a/202601313637698248.html
万科发布2025年度业绩预告 称将全力以赴推进经营改善,【万科发布2025年度业绩预告 称将全力以赴推进经营改善】1月30日晚间，万科发布2025年度业绩预告。报告显示，2025年度万科预计归属于上市公司股东的净利润为亏损820亿元，上年同期亏损494.78亿元。值得一提的是，2025年，大股东深圳地铁集团竭尽所能提供了多种形式支持，帮助万科维持生产经营稳定。,2026-01-31 10:42:54,https://finance.eastmoney.com/a/202601313637696112.html
金饰克价暴涨之后两天连跌,【金饰克价暴涨之后两天连跌】国际金价崩盘跳水之际，这几天金饰克价继续跌，从1700元掉到1500元。在国内头部金饰品牌克价一度冲破1700元大关之后，价格迎来了持续的回落。1月31日，周大福金饰报价1625元/克，周生生金饰报价1618元/克。而1月29日周大福金饰报价1706元/克、周生生金饰报价1708元/克，1月30日周大福金饰报价1685元/克、周生生金饰报价1683元/克。,2026-01-31 10:30:29,https://finance.eastmoney.com/a/202601313637685669.html
“损失难以估量” 日本多方人士要求高市撤回错误言论,【“损失难以估量” 日本多方人士要求高市撤回错误言论】据日本共同社报道，当地时间1月29日，针对日本首相高市早苗此前发表的涉台错误言论，日本“继承和发展村山谈话会”在东京举行集会，要求高市早苗尽快撤回错误言论。,2026-01-31 10:29:23,https://finance.eastmoney.com/a/202601313637685364.html
比尔·盖茨被曝感染性病 并向妻子隐瞒 盖茨：邮件是爱泼斯坦捏造,【比尔·盖茨被曝感染性病 并向妻子隐瞒 盖茨：邮件是爱泼斯坦捏造】当地时间1月30日，美国发布了长达300万页的最新版爱泼斯坦文件。文件中曾爆料比尔·盖茨在与一名俄罗斯女子发生关系后感染性病并向妻子隐瞒。盖茨方面称，该邮件是爱泼斯坦无法与比尔·盖茨保持关系后所捏造。,2026-01-31 10:21:37,https://finance.eastmoney.com/a/202601313637685423.html
AI进入Agent时代 CPU何以站上“算力C位”？,【AI进入Agent时代 CPU何以站上“算力C位”？】英伟达计划在下一代Rubin架构中大幅提升CPU核心数。英特尔与AMD在2026年的服务器CPU产能已基本售罄，计划将产品价格上调10-15%。机构总结道，Agent对CPU需求提升主要来自三方面，即应用调度压力、高并发工具调用成为瓶颈，以及沙箱隔离抬升刚性开销。,2026-01-31 10:20:04,https://finance.eastmoney.com/a/202601313637682422.html
小米SU7 Ultra单月销量下滑至45辆 曾经月销超3000辆,【小米SU7 Ultra单月销量下滑至45辆 曾经月销超3000辆】曾经月销量上千台的“地表最速”四门车小米SU7 Ultra，如今销量正在逐渐下滑。据懂车帝等平台数据，2025年12月小米SU7 Ultra销量为45辆。,2026-01-31 10:08:38,https://finance.eastmoney.com/a/202601313637680085.html
国家统计局：制造业生产保持扩张,【国家统计局：制造业生产保持扩张】国家统计局服务业调查中心首席统计师霍丽慧解读2026年1月中国采购经理指数，制造业采购经理指数有所下降，生产继续保持扩张，1月份，部分制造业行业进入传统淡季，加之市场有效需求仍显不足，制造业PMI为49.3%，景气水平较上月下降。非制造业商务活动指数有所回落，金融市场活跃度较高。,2026-01-31 09:52:43,https://finance.eastmoney.com/a/202601313637670316.html
特朗普提名布雷特·松本担任下一任劳工统计局局长,【特朗普提名布雷特·松本担任下一任劳工统计局局长】当地时间1月30日，美国总统特朗普在其社交平台“真实社交”（Truth Social）发文称，多年来，劳工统计局在一些人的领导下，发布了极其不准确的数据，辜负了美国企业、政策制定者和家庭的期望。正因如此，特朗普解雇了前任局长，并很高兴提名布雷特·松本（Brett Matsumoto）担任下一任劳工统计局局长。,2026-01-31 09:50:58,https://finance.eastmoney.com/a/202601313637669488.html
德国失业人数创近12年以来新高,【德国失业人数创近12年以来新高】德国联邦劳工局30日公布的数据显示，德国登记失业人数在1月达到308.5万人，为2014年2月以来最高水平。,2026-01-31 09:46:53,https://finance.eastmoney.com/a/202601313637666460.html
统计局：1月官方制造业PMI为49.3% 比上月下降0.8个百分点,【统计局：1月官方制造业PMI为49.3% 比上月下降0.8个百分点】1月份，制造业采购经理指数（PMI）为49.3%，比上月下降0.8个百分点，制造业景气水平有所回落。从分类指数看，在构成制造业PMI的5个分类指数中，生产指数和供应商配送时间指数均高于临界点，新订单指数、原材料库存指数和从业人员指数均低于临界点。,2026-01-31 09:30:43,https://finance.eastmoney.com/a/202601313637652122.html
金晨驾车出单方事故 算不算肇事逃逸,【金晨驾车出单方事故 算不算肇事逃逸】1月30日下午，事发地浙江绍兴柯桥警方发布通报，称事故发生于2025年3月16日11时许，因避让路上窜行犬只发生单车事故。事发后，金某因受伤前往医院就诊，由助理徐某青留在现场处置。调查中，徐某青谎称自己系驾驶员，配合交警完成事故处理。此前，被指事故发生后“骗保”事宜，柯桥警方通报指出，经调查，徐某青事后未向保险公司实际理赔，不存在骗保事实。,2026-01-31 09:29:23,https://finance.eastmoney.com/a/202601313637651937.html
都怪美国拖欠会费？联合国面临财政崩溃危机：资金最多再撑半年！,【都怪美国拖欠会费？联合国面临财政崩溃危机：资金最多再撑半年！】近日，联合国秘书长向各成员国致信表示，该组织面临“即将出现的财政崩溃”风险，原因是大量会费未缴，以及一项预算规则迫使该机构退还未动用的资金。,2026-01-31 09:23:44,https://finance.eastmoney.com/a/202601313637648973.html
国家医保局：治疗“地中海贫血”关键药物“去铁酮”纳入医保,【国家医保局：治疗“地中海贫血”关键药物“去铁酮”纳入医保】1月31日，据“国家医保局”公众号消息，2026年1月1日起，国家新版医保药品目录在广西全面落地执行。此次目录调整中，国家医保局通过谈判将“去铁酮片”纳入国家医保药品目录，有效解决地中海贫血患者就医需求，减轻参保患者家庭的用药负担。纳入医保前，城乡居民患者在市县定点机构诊疗的月自费近3000元，纳入医保后，谈判降价叠加医保报销，个人自费仅为原来的十分之一。,2026-01-31 09:21:16,https://finance.eastmoney.com/a/202601313637648364.html
最高预盈118亿元！“光模块龙头”中际旭创2025年业绩爆表 汇兑损失等却蚀利数亿元,【最高预盈118亿元！“光模块龙头”中际旭创2025年业绩爆表 汇兑损失等却蚀利数亿元】1月30日晚间，“山东市值一哥”中际旭创发布了一份令市场沸腾的2025年度业绩预告：预计全年实现归母净利润98亿元至118亿元，同比增长89.50%至128.17%。记者注意到，这一惊人的业绩增长，不仅印证了全球算力基础设施建设的强劲需求，也再次巩固了中际旭创在全球光模块市场的霸主地位。,2026-01-31 09:17:43,https://finance.eastmoney.com/a/202601313637648125.html
40年最大单日跌幅！现货黄金价格跳水超10% 白银一度暴跌近36%,【40年最大单日跌幅！现货黄金价格跳水超10% 白银一度暴跌近36%】分析人士认为，沃什的提名之所以对黄金、白银“杀伤力”极强，并非因为市场突然相信美联储将转向激进加息，而是沃什被视为能“重新锚定美联储公信力”的人选。这一变化直接挑战了过去数周盛行的“央行独立性削弱—货币贬值—实物资产永涨”叙事，也成为贵金属多头集中平仓的触发器。,2026-01-31 09:05:39,https://finance.eastmoney.com/a/202601313637647133.html
见证历史！金银价格，一夜惊魂,【见证历史！金银价格，一夜惊魂】上证报记者采访获悉，在北京时间本周四凌晨美联储议息会议后，短期利多逻辑暂时出尽，市场多头资金选择获利了结，叠加市场对下一任美联储主席人选的猜测等多重因素，或共同促成了金价的历史性暴跌。,2026-01-31 09:02:42,https://finance.eastmoney.com/a/202601313637646986.html
叶国富：名创优品正在开发人形机器人 未来战略方向是AI+IP,【叶国富：名创优品正在开发人形机器人 未来战略方向是AI+IP】1月30日，名创优品MINISO2026全球合作伙伴大会在广州举行。名创优品创始人叶国富在发表演讲时表示，公司孵化的自有IP“YOYO”增长很快，并表示：“我们现在正在开发‘YOYO’的人形机器人，未来每家花个几万买个人形机器人，‘YOYO’陪伴你终身。如何把AI和IP融合在一起，这是我们下一步的战略。”,2026-01-31 08:59:27,https://finance.eastmoney.com/a/202601313637647278.html
上海航运交易所：本周运输市场继续调整 远洋航线运价下行,【上海航运交易所：本周运输市场继续调整 远洋航线运价下行】上海航运交易所发布中国出口集装箱运输市场周度报告，本周，中国出口集装箱运输市场继续调整走势，远洋航线总体需求表现疲软，市场运价下行，拖累综合指数下跌。1月30日，上海航运交易所发布的上海出口集装箱综合运价指数为1316.75点，较上期下跌9.7%。,2026-01-31 08:51:43,https://finance.eastmoney.com/a/202601313637646690.html
苇渡Windrose纯电重卡在比利时正式上牌,【苇渡Windrose纯电重卡在比利时正式上牌】近日，苇渡新能源WindroseElectric在欧洲比利时顺利完成首台纯电重卡注册上牌，这是中国新能源重卡首次在欧洲道路上获得合法运营身份。,2026-01-31 08:51:39,https://finance.eastmoney.com/a/202601313637646573.html
新年首月证监会“火力全开” 罚没逾11亿元全方位高压震慑,【新年首月证监会“火力全开” 罚没逾11亿元全方位高压震慑】2026年第一个月，证监会监管执法“火力全开”。截至2026年1月28日，记者据已披露行政处罚信息统计，新年第一个月，证监部门已至少对13家机构、25名个人作出行政处罚，罚没总额已超11亿元。业内专家表示，证监会开年首月即展现出高强度、广覆盖、快节奏的监管执法态势，彰显了监管部门对资本市场违法违规行为“零容忍”的坚定决心和一贯立场。,2026-01-31 08:48:54,https://finance.eastmoney.com/a/202601313637646140.html
国家能源局组织召开风电和光伏发电资源普查试点工作总结会议,【国家能源局组织召开风电和光伏发电资源普查试点工作总结会议】1月29日下午，国家能源局组织召开了风电和光伏发电资源普查试点工作总结会议。会上，河北、内蒙古、上海、浙江、西藏和青海等六个试点省（区、市）能源和气象主管部门，水电水利规划设计总院、中国气象局公共气象服务中心、国家海洋技术中心等三家技术支撑单位介绍了工作开展情况。国家能源局新能源司全面回顾了工作进展和试点取得的成果经验。,2026-01-31 08:46:32,https://finance.eastmoney.com/a/202601313637645333.html
紧急公告！多只LOF基金暂停大额申购！业内人士：防止损害投资者利益,【紧急公告！多只LOF基金暂停大额申购！业内人士：防止损害投资者利益】1月30日晚间，包括黄金、原油等多只大宗商品类LOF公告大额限购，个别产品申购上限甚至低至单日2元。有业内人士分析称，市场大跌时，相关基金可能因其主题或策略成为焦点，涌入大量短期抄底或投机资金，而相关基金底层资产投入的是额度有限的QDII产品，难以新增投资。若资金持续涌入，超出额度的资金只能闲置为现金，导致基金净值偏离指数，损害投资者利益。,2026-01-31 08:45:21,https://finance.eastmoney.com/a/202601313637645911.html
盘中暴涨25%！芯片巨头闪迪释放重磅信号!,【盘中暴涨25%！芯片巨头闪迪释放重磅信号!】昨晚，存储芯片制造商闪迪的股价逆市拉升，盘中涨幅一度超过25%，再创历史新高。受美股大盘拖累，收盘时闪迪的涨幅收窄至6.85%，但依然创出收盘历史新高，总市值也突破850亿美元。此前，该公司公布的2026财年第二财季业绩超出市场预期，主要受益于人工智能驱动的数据存储需求激增。,2026-01-31 08:43:30,https://finance.eastmoney.com/a/202601313637644658.html
百亿净利券商或增至5家 28家券商2025年业绩出炉 翻倍券商增至7家,【百亿净利券商或增至5家 28家券商2025年业绩出炉 翻倍券商增至7家】截至1月30日，28家券商或上市主体披露2025年快报、预报或未经审计财报。整体来看，上述券商2025年归母净利润合计同比增幅达60.08%，其中7家业绩翻倍，12家增幅介于50%至100%之间，行业盈利修复态势显著。,2026-01-31 08:42:43,https://finance.eastmoney.com/a/202601313637645849.html
营收增长超8%业绩预亏5700万元！“国产操作系统第一股”麒麟信安怎么了？,【营收增长超8%业绩预亏5700万元！“国产操作系统第一股”麒麟信安怎么了？】“国产操作系统第一股”麒麟信安交出了一份喜忧参半的业绩预告。1月30日晚间，麒麟信安发布2025年度业绩预告，预计2025年实现营业收入约3.1亿元，同比增长约8.25%。然而，净利润却发生“变脸”——麒麟信安预计去年归母净利润为亏损5700万元，与2024年同期盈利793.57万元相比，大幅减少了6493.57万元，同时，扣非净利润预计亏损8900万元。,2026-01-31 08:34:13,https://finance.eastmoney.com/a/202601313637644495.html
筹码集中的绩优滞涨热门赛道股出炉 仅5只,【筹码集中的绩优滞涨热门赛道股出炉 仅5只】筹码集中的绩优滞涨热门赛道股能否迎来补涨行情？2025年以来，在受多重因素的刺激下，科技、航天、基础化工等热门赛道中走出轮番上涨的结构性行情，其中不乏一批优质个股备受青睐，筹码大幅集中。,2026-01-31 08:32:11,https://finance.eastmoney.com/a/202601313637644334.html
美元美债起跑！沃什上任美联储主席将如何影响市场,【美元美债起跑！沃什上任美联储主席将如何影响市场】当地时间周五（30日），美国总统特朗普宣布美联储新任主席人选——凯文·沃什。这位长期批评美联储的人士，将迎来把自己的货币政策“体系变革”理念付诸实践的契机，与此同时，当下白宫正试图加强对利率制定的掌控。,2026-01-31 08:29:12,https://finance.eastmoney.com/a/202601313637644216.html
泰国军方称柬埔寨有破坏停火行为,【泰国军方称柬埔寨有破坏停火行为】当地时间1月30日晚，泰国陆军第二军区发布公告称，30日20时10分，泰柬边境四色菊府泰军一防御系统被启动，怀疑有敌方向泰国阵地逼近。,2026-01-31 08:19:46,https://finance.eastmoney.com/a/202601313637644036.html
美参议院通过为联邦政府大部分部门提供资金的支出法案,【美参议院通过为联邦政府大部分部门提供资金的支出法案】当地时间30日，美国参议院通过了为联邦政府大部分部门提供资金的支出法案，并将该法案提交众议院审议。,2026-01-31 08:01:48,https://finance.eastmoney.com/a/202601313637643796.html
A股战略投资规则迎十条大修 强化中长期资金入市红利,【A股战略投资规则迎十条大修 强化中长期资金入市红利】证监会就修改《证券期货法律适用意见第18号》公开征求意见，引发关注。这次修订核心指向扩大战略投资者范围、明确持股要求，为中长期资金入市筑牢制度根基。这场规则将调整如何划定战略投资者的边界？又将为上市公司再融资与资本市场生态带来哪些变化？,2026-01-31 08:01:28,https://finance.eastmoney.com/a/202601313637643965.html
代号“精灵” 谷歌首次开放世界模型 AI加速进入“凭空造世”时代,【代号“精灵” 谷歌首次开放世界模型 AI加速进入“凭空造世”时代】如果人工智能领域的进步可以看作一部交响乐，那么过去几年，乐章的主题无疑是“生成”——生成文字、图像、声音乃至视频。然而，在2026年初，一段崭新的旋律被奏响：它不仅生成，更能构建。,2026-01-31 07:58:02,https://finance.eastmoney.com/a/202601313637643612.html
英伟达和OpenAI之间价值1000亿美元的合作交易谈判陷入停滞,英伟达和OpenAI之间价值1000亿美元的合作交易谈判陷入停滞。,2026-01-31 07:52:42,https://finance.eastmoney.com/a/202601313637643170.html
SpaceX去年营收据悉约为150-160亿美元,【SpaceX去年营收据悉约为150-160亿美元】当地时间1月30日，据报道，两名知情人士透露，SpaceX去年营收约150亿至160亿美元，实现利润约80亿美元。报道称，星链业务是主要收入增长动力。,2026-01-31 07:51:11,https://finance.eastmoney.com/a/202601313637631513.html
公募基金信披规则迎重大修订 要求新增产品中长期业绩 不再披露过去1个月的业绩,【公募基金信披规则迎重大修订 要求新增产品中长期业绩 不再披露过去1个月的业绩】在本次可拓展商业报告语言（XBRL）模板中，证监会要求，基金管理人在年报中披露报告期内相关产品的股票换手率数据，强化投资行为稳定性的信息揭示，督促基金管理人、基金经理形成更加审慎、理性的投资观念，纠治过于激进的投资行为；基金业协会要求，管理人在年报、半年报、季报中新增产品过去7、10年中长期业绩，不再披露过去1个月的业绩，引导行业更加注重“长期投资、价值投资”理念。,2026-01-31 07:48:03,https://finance.eastmoney.com/a/202601313637475994.html
美持续施压伊朗 特朗普：没有撤回军事部署的时间表,【美持续施压伊朗 特朗普：没有撤回军事部署的时间表】美国总统特朗普30日在回答媒体记者有关“是否向伊朗设定达成协议的最后期限”时回答称，已同伊方沟通，但没有透露具体日期，他称“只有伊朗自己知道”。,2026-01-31 07:35:52,https://finance.eastmoney.com/a/202601313637518876.html
利好来了！上海重大发布！事关消费 最高补贴不超2万元,【利好来了！上海重大发布！事关消费 最高补贴不超2万元】1月30日，上海市发改委、上海市财政局发布《关于上海市贯彻实施2026年大规模设备更新和消费品以旧换新政策的通知》，其中明确，支持工业、电子信息、能源电力、交通运输等线下消费商业设施设备更新项目申报。在消费品以旧换新方面，通知提出，给予汽车报废更新补贴支持，购买新能源乘用车补贴最高不超过2万元；给予汽车置换更新补贴支持，购买新能源乘用车补贴最高不超1.5万元。,2026-01-31 07:27:29,https://finance.eastmoney.com/a/202601313637477127.html
深夜“血洗”！白银史诗级暴跌！黄金创40年最大跌幅！,【深夜“血洗”！白银史诗级暴跌！黄金创40年最大跌幅！】北京时间1月31日凌晨，现货白银价格一度暴跌36%，创出历史最大日内跌幅；现货黄金价格一度下跌超过12%，盘中跌穿每盎司4700美元，遭遇40年来单日最大跌幅。,2026-01-31 07:26:45,https://finance.eastmoney.com/a/202601313637477033.html
打还是谈 美国伊朗“红线”对决 中东“火药桶”持续升温,【打还是谈 美国伊朗“红线”对决 中东“火药桶”持续升温】中东局势连日来持续紧张，美国不断调派军力。有消息称，美国在中东已经部署至少10艘军舰。近一周，美国还向中东调派了42架运输机。同时美方又释放对话信号，从军事、外交上持续对伊朗施压。伊朗方面则强硬回击，表示对侵略行为将果断回应。美国与伊朗当前各自的核心要求是什么？是否还能通过谈判解决问题？如果美国真对伊朗进行军事打击，伊朗会如何反击？,2026-01-31 07:11:26,https://finance.eastmoney.com/a/202601313637475478.html
碳酸锂价格震荡上行 锂矿企业业绩大幅回暖,【碳酸锂价格震荡上行 锂矿企业业绩大幅回暖】“目前，公司产销正常，碳酸锂产品供不应求，没什么库存。”1月30日，某碳酸锂企业相关负责人对中国证券报记者表示。自2025年下半年以来，碳酸锂价格持续回暖，价格从7万元/吨一度涨至17万元/吨左右。中国化学与物理电源行业协会动力电池应用分会研究中心总经理周波对中国证券报记者表示，近半年来，碳酸锂市场呈现“供应偏紧与需求高预期”并存的局面。受此影响，多家锂矿企业预计2025年全年业绩将显著回暖。,2026-01-31 07:04:15,https://finance.eastmoney.com/a/202601313637474376.html
华北中南部黄淮中西部等地有雾霾天气,【华北中南部黄淮中西部等地有雾霾天气】据中央气象台，1月31日至2月1日，华北中南部、黄淮中西部、汾渭平原、新疆天山北坡等地大气扩散条件一般，上述地区有轻至中度霾，局地重度霾。2月2日起，受弱冷空气影响，华北中部、黄淮中部的霾天气减弱或消散，但华北南部、黄淮西部等地霾天气继续维持，部分地区将有轻至中度霾，局地重度霾。5日起，受冷空气影响，上述地区霾天气自北向南逐渐减弱消散。此外，31日早晨至上午，河北南部、河南中部、山西中南部、山东西部、新疆天山北坡等地有大雾天气，局地有能见度低于200米的强浓雾。,2026-01-31 06:53:59,https://finance.eastmoney.com/a/202601313637472888.html
美国务院要求非紧急政府雇员从尼日尔撤离,【美国务院要求非紧急政府雇员从尼日尔撤离】当地时间1月30日，美国国务院表示，由于安全风险，已下令非紧急政府雇员及其家属撤离尼日尔。,2026-01-31 06:39:42,https://finance.eastmoney.com/a/202601313637468859.html
俄罗斯重新将14名日本人列为战犯,【俄罗斯重新将14名日本人列为战犯】俄罗斯外交部发言人扎哈罗娃当地时间1月30日表示，俄方持续揭露日本军国主义罪行，近期重新将14名日本人认定为战犯。,2026-01-31 06:39:11,https://finance.eastmoney.com/a/202601313637468741.html
宝可梦就“靖国神社活动计划”公开致歉,【宝可梦就“靖国神社活动计划”公开致歉】日本知名游戏动漫IP宝可梦运营的网站上近日出现消息称，计划于1月31日在供奉日本甲级战犯的靖国神社举办相关活动，引发轩然大波。宝可梦网站1月30日用中日双语发布公告致歉：今后将从根本上改变并强化活动信息的审查体系与确认流程，杜绝此类问题再次发生。,2026-01-31 06:34:17,https://finance.eastmoney.com/a/202601313637468530.html
美联储理事鲍曼表示 期待与美国总统特朗普的美联储主席提名人凯文·沃什合作,美联储理事鲍曼表示，期待与美国总统特朗普的美联储主席提名人凯文·沃什合作。,2026-01-31 06:28:40,https://finance.eastmoney.com/a/202601313637468220.html
急速大跳水！贵金属重挫 现货白银盘中一度跌超36%,【急速大跳水！贵金属重挫 现货白银盘中暴跌超30%】贵金属剧烈波动！继昨晚大幅震荡后，黄金、白银价格今日继续高台跳水。截至发稿，现货白银向下跌破76美元/盎司，日内下跌34.36%。现货黄金日内跌幅扩大至12%，报4705.29美元/盎司。,2026-01-31 06:26:56,https://finance.eastmoney.com/a/202601303637078841.html
