标题,摘要,发布时间,链接
美国上周初请失业金人数录得23.1万人 高于市场预期,【美国上周初请失业金人数录得23.1万人 高于市场预期】美国上周初请失业金人数录得23.1万人，预估21.2万人，前值20.9万人。美国1月24日当周持续申领失业救济人数为184.4万人，预估185万人。,2026-02-05 21:30:26,https://finance.eastmoney.com/a/202602053643052039.html
消息称SpaceX计划推出星链手机,【消息称SpaceX计划推出星链手机】知情人士透露，SpaceX正为星链（Starlink）制定一系列发展计划，旨在将业务版图拓展至新的市场领域，包括推出Starlink手机、直连终端的联网服务及空间监测服务。,2026-02-05 21:27:54,https://finance.eastmoney.com/a/202602053643050628.html
美俄同意恢复高级别军事对话,【美俄同意恢复高级别军事对话】美军欧洲司令部5日在其官方网站发布消息说，美国和俄罗斯当天在阿联酋首都阿布扎比举行会谈，同意恢复高级别军事对话。,2026-02-05 21:25:10,https://finance.eastmoney.com/a/202602053643050094.html
大众汽车2025年超越特斯拉 成为欧洲电动车销冠,"【大众汽车2025年超越特斯拉 成为欧洲电动车销冠】市场研究公司JATODynamics周四公布的数据显示，2025年大众汽车在欧洲纯电动汽车销量上超越特斯拉。具体来看，2025年大众在欧洲共售出274,278辆纯电动车，而特斯拉的销量为236,357辆。",2026-02-05 21:22:37,https://finance.eastmoney.com/a/202602053643048581.html
中国时空携手运营商推出北斗短信业务,【中国时空携手运营商推出北斗短信业务】记者今天（5日）从中国时空信息集团获悉，近日，中国时空携手三大通信运营商推出北斗短信业务，基于中国时空服务能力，中国移动、中国电信、中国联通均支持北斗短信业务。,2026-02-05 21:22:02,https://finance.eastmoney.com/a/202602053643048430.html
本周茅台价格再次上涨 i茅台套利空间加大,【本周茅台价格再次上涨 i茅台套利空间加大】多位网友反映i茅台购买茅台的页面登陆困难，显示点击重试，无法抢购。近日茅台市场价格再度上涨，与i茅台的抢购价格形成单瓶150元到200元的差价，代抢价格也出现翻倍。,2026-02-05 21:21:01,https://finance.eastmoney.com/a/202602053643048241.html
交易员维持对欧洲央行降息预期不变,交易员维持对欧洲央行降息预期不变，预计2026年降息5个基点。,2026-02-05 21:17:38,https://finance.eastmoney.com/a/202602053643045634.html
欧洲央行维持三大关键利率不变 符合市场预期,【欧洲央行维持三大关键利率不变 符合市场预期】欧洲央行将存款机制利率维持在2.00%，将主要再融资利率维持在2.15%，将边际贷款利率维持在2.40%，符合市场预期。,2026-02-05 21:15:24,https://finance.eastmoney.com/a/202602053643042172.html
内蒙一机：全资子公司签订3.48亿元铁路货车项目合同,【内蒙一机：全资子公司签订3.48亿元铁路货车项目合同】内蒙一机(600967)2月5日公告，全资子公司包头北方创业有限责任公司与中国国家铁路集团有限公司签订《铁路货车采购项目合同》，由中国国家铁路集团有限公司向北创公司采购了C70E型通用敞车和X70型集装箱专用平车，合同总金额3.48亿元（含税）。,2026-02-05 21:15:12,https://finance.eastmoney.com/a/202602053643045389.html
大族数控：香港公开发售获446.39倍认购 发售价95.80港元,【大族数控：香港公开发售获446.39倍认购 发售价95.80港元】2月5日晚间，大族数控在港交所公告最终发售价及配发结果，香港公开发售获446.39倍认购，国际发售获21.07倍认购；发售价95.80港元，所得款项净额46.307亿港元，H股股份将于2026年2月6日开始在香港联交所买卖。,2026-02-05 21:15:10,https://finance.eastmoney.com/a/202602053643041360.html
蔚来总裁秦力洪：1亿次换电预计明日达成,【蔚来总裁秦力洪：1亿次换电预计明日达成】2月5日，蔚来联合创始人、总裁秦力洪发文透露，蔚来换电已突破9990万次，预计明天（2月6日），蔚来1亿次换电就将达成。,2026-02-05 21:14:09,https://finance.eastmoney.com/a/202602053643038836.html
世界黄金协会：1月全球黄金ETF吸引创纪录的187亿美元资金流入,【世界黄金协会：1月全球黄金ETF吸引创纪录的187亿美元资金流入】根据世界黄金协会最新报告，2026年1月全球黄金交易所交易基金(ETF)吸引了创纪录的187亿美元资金流入。各地区均表现强劲，尤其是亚洲和北美洲的资金流入表现突出，推动黄金ETF总资产管理规模达到6690亿美元，创下历史新高。,2026-02-05 21:13:00,https://finance.eastmoney.com/a/202602053643034898.html
伦敦金属交易所（LME）三个月期锡下跌超6%,伦敦金属交易所（LME）三个月期锡下跌超6%，至每吨45315美元。,2026-02-05 21:10:34,https://finance.eastmoney.com/a/202602053643029988.html
乌总统办公室主任：本轮乌美俄三方会谈富有建设性,【乌总统办公室主任：本轮乌美俄三方会谈富有建设性】乌克兰总统办公室主任布达诺夫当地时间2月5日表示，此轮乌美俄三方会谈富有建设性，他感谢美国和阿联酋为此次谈判提供了高质量的组织和协调服务。,2026-02-05 21:05:29,https://finance.eastmoney.com/a/202602053643027012.html
波罗的海干散货指数跌0.97% 至1936点,波罗的海干散货指数跌0.97%，至1936点。,2026-02-05 21:03:50,https://finance.eastmoney.com/a/202602053643025748.html
上期所沪银期货低开低走 一度跌超15%,上期所沪银期货低开低走，一度跌超15%，现跌超13%。,2026-02-05 21:02:59,https://finance.eastmoney.com/a/202602053643025358.html
青鸟消防：证券简称拟变更为“青鸟智控”,【青鸟消防：证券简称拟变更为“青鸟智控”】青鸟消防(002960.SZ)公告称，公司名称将由“青鸟消防股份有限公司”变更为“青鸟智慧控制科技股份有限公司”，证券简称由“青鸟消防”变更为“青鸟智控”，以更准确地反映公司当前业务布局及未来发展方向。,2026-02-05 20:58:16,https://finance.eastmoney.com/a/202602053643023372.html
硅业分会：春节前受电池片排产下调及市场对硅料价格下行预期影响 硅片市场预计以窄幅震荡为主,【硅业分会：春节前受电池片排产下调及市场对硅料价格下行预期影响 硅片市场预计以窄幅震荡为主】2月5日，中国有色金属工业协会硅业分会发文表示，受下游需求疲弱影响，本周硅片市场成交清淡，价格承压下行。,2026-02-05 20:57:04,https://finance.eastmoney.com/a/202602053643022395.html
机构：美企1月裁员人数同比大增118% 创2009年以来同期新高,"【机构：美企1月裁员人数同比大增118% 创2009年以来同期新高】当地时间2月5日，职业介绍机构Challenger, Gray & Christmas发布的数据显示，美国企业今年1月宣布裁员108435人，同比大增118%，创2009年以来同期新高。报告还显示，企业招聘意向同比下降13%至5306人，创该机构2009年有记录以来的最弱1月表现。",2026-02-05 20:56:30,https://finance.eastmoney.com/a/202602053643022277.html
Wolfspeed美股盘前跌近18%,【Wolfspeed美股盘前跌近18%】Wolfspeed美股盘前跌近18%，公司第二季度调整后每股收益和销售额均不及预期。,2026-02-05 20:51:29,https://finance.eastmoney.com/a/202602053643020713.html
美股期货跌幅扩大 纳斯达克100指数期货跌1%,【美股期货跌幅扩大 纳斯达克100指数期货跌1%】美股期货跌幅扩大，道琼斯指数期货跌0.33%，标普500指数期货跌0.67%，纳斯达克100指数期货跌1.06%。谷歌盘前跌幅扩大至5%，美光跌超5%。,2026-02-05 20:50:44,https://finance.eastmoney.com/a/202602053643020112.html
中国航空工业集团与中铝集团签署战略合作框架协议,【中国航空工业集团与中铝集团签署战略合作框架协议】2月4日，中国航空工业集团与中铝集团在京签署战略合作框架协议。根据协议，双方将在科技创新、供应链协同、民用航空、新兴产业和国际业务等方面开启全面深化合作，为加快建设新时代航空强国贡献力量。,2026-02-05 20:48:18,https://finance.eastmoney.com/a/202602053643018587.html
需求疲软成交清淡 硅片价格承压下行,【需求疲软成交清淡 硅片价格承压下行】据安泰科统计，本周硅片价格承压下行。据调研了解，本周下游电池片、组件价格暂无明显变化，较上周持平，其中电池片主流价格0.41-0.45元/W，组件主流价格0.71-0.75元/W。,2026-02-05 20:46:20,https://finance.eastmoney.com/a/202602053643017530.html
中国电信获批开展北斗短信业务,【中国电信获批开展北斗短信业务】2月5日，中国电信宣布，已于近日正式获得工业和信息化部北斗三号短报文公众应用商用实验的批复。业务正式推出后，广大用户将可在中国电信营业厅、中国电信APP申请体验，“不换卡、不换号”即可享受北斗短信服务。,2026-02-05 20:44:48,https://finance.eastmoney.com/a/202602053643017098.html
艾洛铜业：预计未来三年铜产量将持续增长,【艾洛铜业：预计未来三年铜产量将持续增长】艾洛铜业（ERO COPPER）表示，预计未来三年铜产量将持续增长，到2028年将达到8万至9万吨。,2026-02-05 20:41:02,https://finance.eastmoney.com/a/202602053643014336.html
谷歌美股盘前跌幅扩大至4.6%,谷歌美股盘前跌幅扩大至4.6%。,2026-02-05 20:38:16,https://finance.eastmoney.com/a/202602053643007678.html
港交所：1月首次公开招股集资金额为393亿港元 同比上升555%,【港交所：1月首次公开招股集资金额为393亿港元 同比上升555%】香港交易所披露，2026年1月的首次公开招股集资金额为393亿港元，较去年同期的60亿港元上升555%。2026年1月的总集资金额为531亿港元，较去年同期的127亿港元上升318%。,2026-02-05 20:34:59,https://finance.eastmoney.com/a/202602053643001945.html
CHALLENGER报告显示美国企业1月裁员10.8万人 创2009年以来同期最高,【CHALLENGER报告显示美国企业1月裁员10.8万人 创2009年以来同期最高】美国1月挑战者企业裁员人数10.8万人，这是自2009年以来规模最大的一次裁员数字，同比上升117.8%。,2026-02-05 20:31:33,https://finance.eastmoney.com/a/202602053643000543.html
中环海陆：江海机械拟减持公司不超3%股份,【中环海陆：江海机械拟减持公司不超3%股份】中环海陆(301040)2月5日公告，公司持股11.36%的股东江苏江海机械有限公司计划通过集中竞价和大宗交易方式，减持不超3%的公司股份。,2026-02-05 20:29:37,https://finance.eastmoney.com/a/202602053642999477.html
标普500指数期货跌幅扩大 触及日内低点,标普500指数期货跌幅扩大，触及日内低点，跌0.3%。,2026-02-05 20:28:46,https://finance.eastmoney.com/a/202602053642999070.html
摩根大通预测今年石油需求将强劲增长,摩根大通预测今年石油需求将强劲增长，但预计全球供应将超过需求。,2026-02-05 20:26:52,https://finance.eastmoney.com/a/202602053642997790.html
Strategy的比特币持仓目前浮亏超46亿美元,"【Strategy的比特币持仓目前浮亏超46亿美元】随着比特币跌破7万美元，MichaelSaylor旗下Strategy所持有的713,502枚BTC（目前价值496.6亿美元）正面临超过46亿美元的未实现亏损。",2026-02-05 20:26:08,https://finance.eastmoney.com/a/202602053642997594.html
摩根大通：铜市场错配加剧的可能性依然显著,摩根大通表示，铜市场错配加剧的可能性依然显著，未来几个月或将出现更强劲的看涨行情。,2026-02-05 20:25:42,https://finance.eastmoney.com/a/202602053642997428.html
特变电工：控股子公司27.05亿元竞得普查探矿权,【特变电工：控股子公司27.05亿元竞得普查探矿权】特变电工(600089.SH)公告称，公司控股子公司新疆天池能源有限责任公司参与竞买了新疆巴里坤哈萨克自治县三塘湖矿区库木苏五号井田普查探矿权，并成功竞得。成交价为27.05亿元，矿区面积为65.85平方公里，勘查矿种为煤炭。,2026-02-05 20:24:47,https://finance.eastmoney.com/a/202602053642996559.html
美国政府计划建造一座新的矿业设施以开发非洲的铜带资源,美国政府计划建造一座新的矿业设施，以开发非洲的铜带资源。,2026-02-05 20:23:35,https://finance.eastmoney.com/a/202602053642995929.html
摩根大通：今年来自各国央行和投资者的需求将最终推动黄金价格在2026年底前升至每盎司6300美元,摩根大通表示，今年来自各国央行和投资者的需求足够强劲，将最终推动黄金价格在2026年底前升至每盎司6300美元。,2026-02-05 20:22:15,https://finance.eastmoney.com/a/202602053642995034.html
高争民爆：2025年净利润1.97亿元 同比增加32.77%,【高争民爆：2025年净利润1.97亿元 同比增加32.77%】高争民爆(002827)2月5日发布业绩快报，2025年度营业收入18.25亿元，同比增加7.82%；归属于上市公司股东的净利润1.97亿元，同比增加32.77%；基本每股收益0.71元。,2026-02-05 20:18:47,https://finance.eastmoney.com/a/202602053642994363.html
交易员加大对英国央行放松政策的押注,交易员加大对英国央行放松政策的押注，如今更倾向于在三月降息。,2026-02-05 20:18:42,https://finance.eastmoney.com/a/202602053642994186.html
德意志银行、STIFEL上调谷歌母公司Alphabet目标股价,德意志银行将谷歌母公司Alphabet目标股价从370美元上调至390美元。STIFEL将谷歌母公司Alphabet目标股价从346美元上调至395美元。,2026-02-05 20:15:26,https://finance.eastmoney.com/a/202602053642993146.html
贝因美：公司控股股东预重整公开招募投资人,【贝因美：公司控股股东预重整公开招募投资人】贝因美(002570)2月5日公告，公司今日（2月5日）查询获悉，小贝大美控股预重整管理人发布了《关于公开招募和遴选重整投资人的公告》，决定采用公开方式招募及遴选意向投资人。,2026-02-05 20:13:16,https://finance.eastmoney.com/a/202602053642991818.html
乌方称俄美乌三方第二日会谈已结束,【乌方称俄美乌三方第二日会谈已结束】总台记者获悉，当地时间2月5日，乌克兰方面表示，阿布扎比俄美乌三方第二日会谈已结束。,2026-02-05 20:08:18,https://finance.eastmoney.com/a/202602053642970062.html
巴斯夫上调海外TDI价格 国内TDI产业迎来产能扩张与出口爆发双重红利,【巴斯夫上调海外TDI价格 国内TDI产业迎来产能扩张与出口爆发双重红利】巴斯夫此前宣布上调亚太地区（不含中国大陆）地区的TDI产品价格11%。巴斯夫海外调价显示当前全球TDI产业格局重构，海外成本压力与供应收缩将长期存在，而中国TDI产业凭借产能、成本与产业链优势，全球市场话语权将持续提升。,2026-02-05 20:07:27,https://finance.eastmoney.com/a/202602053642969732.html
英国央行表示利率“可能进一步下调”,英国央行表示利率“可能进一步下调”。,2026-02-05 20:03:18,https://finance.eastmoney.com/a/202602053642966058.html
英国央行：货币政策委员会以5比4的多数票决定维持银行利率在3.75%,英国央行称，货币政策委员会以5比4的多数票决定维持银行利率在3.75%。四名成员投票支持将银行利率下调0.25个百分点，降至3.5%。,2026-02-05 20:02:40,https://finance.eastmoney.com/a/202602053642965834.html
英国央行维持基准利率在3.75%不变 符合市场预期,英国央行维持基准利率在3.75%不变，符合市场预期。,2026-02-05 20:00:58,https://finance.eastmoney.com/a/202602053642963851.html
江丰电子：拟收购凯德石英控制权 股票复牌,【江丰电子：拟收购凯德石英控制权 股票复牌】2月5日，江丰电子发布公告，公司拟以现金收购北京凯德石英股份有限公司控制权。本次交易完成后，公司将成为凯德石英的控股股东，凯德石英将成为公司的控股子公司。公司股票将于2026年2月6日（星期五）开市起复牌。,2026-02-05 19:58:07,https://finance.eastmoney.com/a/202602053642962016.html
比特币一度失守7万关口 预测市场押注其跌破5.5万美元的概率升至60%,【比特币一度失守7万关口 预测市场押注其跌破5.5万美元的概率升至60%】比特币价格日内一度跌破7万美元关口。预测平台Polymarket显示，比特币年内有82%的概率会跌至6.5万美元下方，跌破5.5万美元的概率也已升至约60%。,2026-02-05 19:57:58,https://finance.eastmoney.com/a/202602053642961916.html
回盛生物：投资10亿元建设新疆合成生物学智造项目,【回盛生物：投资10亿元建设新疆合成生物学智造项目】回盛生物(300871.SZ)公告称，公司于2月4日召开董事会，审议通过全资子公司新疆回盛投资建设新疆合成生物学智造项目，项目总投资10亿元，分三期建设。项目旨在满足市场需求，突破产能与效率瓶颈，实现技术升级和成本控制目标。,2026-02-05 19:57:21,https://finance.eastmoney.com/a/202602053642961668.html
瑞银集团：相信黄金和白银在2026年都可能进一步上涨,瑞银集团表示，相信黄金和白银在2026年都可能进一步上涨。,2026-02-05 19:56:34,https://finance.eastmoney.com/a/202602053642960379.html
润泽科技：筹划发行可转债购买润惠科技少数股权 明起停牌,【润泽科技：筹划发行可转债购买润惠科技少数股权 明起停牌】润泽科技(300442.SZ)公告称，公司正在筹划发行可转换公司债券购买资产并募集配套资金事项，本次交易的标的资产为广东润惠科技发展有限公司除上市公司（含子公司）所持股权以外的剩余全部或部分少数股权，润惠科技经营范围包括工程和技术研究和试验发展、软件开发等。公司证券自2026年2月6日起开始停牌。,2026-02-05 19:55:43,https://finance.eastmoney.com/a/202602053642960242.html
*ST立方：公司股票短期内价格涨幅较大 明起停牌核查,【*ST立方：公司股票短期内价格涨幅较大 停牌核查】*ST立方2月5日晚间公告，因公司股票自2026年1月20日至2026年2月5日期间价格涨幅为314.93%，期间多次触及股票交易异常波动情形，公司股票短期内价格涨幅较大，已背离公司基本面，为维护投资者利益，公司将就股票交易波动情况进行停牌核查。公司股票（证券简称：*ST立方，证券代码：300344）自2026年2月6日（星期五）开市起停牌，预计停牌时间不超过5个交易日。,2026-02-05 19:49:09,https://finance.eastmoney.com/a/202602053642956939.html
莫迪：印度将有望成为世界第三大经济体,印度总理莫迪表示，印度将有望成为世界第三大经济体。,2026-02-05 19:44:24,https://finance.eastmoney.com/a/202602053642949875.html
英飞凌宣布对部分产品涨价 4月1日起生效,【英飞凌宣布对部分产品涨价 4月1日起生效】2月5日，半导体大厂英飞凌发布涨价通知称，由于功率开关与相关芯片供给持续吃紧，以及原材料与基础设施成本攀升，公司将自2026年4月1日起对这部分产品价格进行上调。,2026-02-05 19:43:56,https://finance.eastmoney.com/a/202602053642953269.html
莫斯科交易所1月份黄金交易量同比增长87%,莫斯科交易所1月份黄金交易量同比增长87%。,2026-02-05 19:42:34,https://finance.eastmoney.com/a/202602053642943577.html
南矿集团：拟3000万美元认购鹰谷黄金有限公司10%股权,【南矿集团：拟3000万美元认购鹰谷黄金有限公司10%股权】南矿集团(001360.SZ)公告称，公司通过新加坡全资子公司NMS International Holding Pte. Ltd以现金3000万美元认购鹰谷黄金有限公司新发行普通股，股份占比为股份发行后总股本的10%。,2026-02-05 19:40:48,https://finance.eastmoney.com/a/202602053642942235.html
富国银行将高通目标价从165美元下调至135美元,富国银行将高通目标价从165美元下调至135美元。,2026-02-05 19:39:46,https://finance.eastmoney.com/a/202602053642941715.html
中国联通：北斗短信业务试商用获批启动,【中国联通：北斗短信业务试商用获批启动】2月5日，据中国联通消息，中国联通于近日正式获得工信部准予开展北斗三号短报文公众应用商用试验的批复。此次获批，意味着在无地面网络信号的海洋、深山、荒漠等偏远地区，用户在“不换卡、不换号”前提下，使用支持北斗短信的终端，通过北斗卫星发送短消息。,2026-02-05 19:37:49,https://finance.eastmoney.com/a/202602053642940730.html
奥比中光：向特定对象发行股票申请获上交所审核通过,【奥比中光：向特定对象发行股票申请获上交所审核通过】奥比中光(688322)2月5日公告，公司2025年度向特定对象发行A股股票申请获得上交所审核通过。该事项尚需获得中国证监会作出同意注册的决定后方可实施。,2026-02-05 19:34:20,https://finance.eastmoney.com/a/202602053642938615.html
雅诗兰黛股价跌幅达11%,雅诗兰黛股价延续跌势，跌幅高达11%。,2026-02-05 19:32:23,https://finance.eastmoney.com/a/202602053642936164.html
比特币跌破7万美元关口,"【比特币跌破7万美元关口】比特币自2024年11月6日以来首次跌破70,000美元关口。",2026-02-05 19:31:54,https://finance.eastmoney.com/a/202602053642935930.html
伊朗扣押两艘燃油走私船,【伊朗扣押两艘燃油走私船】据伊朗迈赫尔通讯社5日报道，伊朗在波斯湾法尔斯岛附近扣押两艘走私船，查获超过100万升的走私燃油。,2026-02-05 19:29:24,https://finance.eastmoney.com/a/202602053642934159.html
澜起科技：H股发售价定为106.89港元,【澜起科技：H股发售价定为106.89港元】2月5日，澜起科技公告，于2026年2月5日，发售价已厘定为每股H股106.89港元。预期H股将于2026年2月9日（星期一）上午九时正（香港时间）开始在联交所主板买卖。,2026-02-05 19:27:13,https://finance.eastmoney.com/a/202602053642932211.html
沃尔沃汽车股价跌幅达25%,【沃尔沃汽车股价跌幅达25%】沃尔沃汽车股价跌至自2025年10月以来的最低水平，跌幅达25%。,2026-02-05 19:23:12,https://finance.eastmoney.com/a/202602053642930814.html
牧原股份：2026年1月份商品猪销售收入105.66亿元 同比变动-11.93%,【牧原股份：2026年1月份商品猪销售收入105.66亿元 同比变动-11.93%】牧原股份(002714.SZ)公告称，2026年1月份，公司销售商品猪700.9万头，同比变动2.73%（其中向全资子公司牧原肉食品有限公司及其子公司合计销售商品猪311.6万头）；商品猪销售均价12.57元/公斤，同比变动-16.92%。商品猪销售收入105.66亿元，同比变动-11.93%。,2026-02-05 19:22:38,https://finance.eastmoney.com/a/202602053642930647.html
国家发展改革委部署做好2026年春耕及全年化肥保供稳价工作,【国家发展改革委部署做好2026年春耕及全年化肥保供稳价工作】记者2月5日从国家发展改革委获悉，国家发展改革委近日印发关于做好2026年春耕及全年化肥保供稳价工作的通知。,2026-02-05 19:19:24,https://finance.eastmoney.com/a/202602053642927896.html
2026全球风光水发电能力年景预测报告发布,【2026全球风光水发电能力年景预测报告发布】记者从中国气象局了解到，《全球风光水发电能力年景预测2026》成果今天在北京发布。报告预测，从中国看，风电平均可发电小时数为2100，比2025年略有下降，考虑装机增长，总发电能力将提高约2%；光伏平均可发电小时数为1320，与2025年基本持平，考虑装机增长，总发电能力将提高约25%；预计全年西北地区来水将增多，西南来水可能减少。,2026-02-05 19:08:38,https://finance.eastmoney.com/a/202602053642918746.html
中老500千伏联网工程输电线路全线贯通,【中老500千伏联网工程输电线路全线贯通】记者从南方电网公司获悉，2月5日，随着输电导线在中国云南省磨憨与老挝磨丁交界处顺利完成高空连接，中老500千伏联网工程中国段与老挝段实现物理连通。这次“云端握手”，标志着这一工程国内外线路全线贯通。,2026-02-05 19:07:48,https://finance.eastmoney.com/a/202602053642918662.html
杭州解百：股票异动期间职工董事姚兰减持4万股公司股票,"【杭州解百：股票异动期间职工董事姚兰减持4万股公司股票】杭州解百2月5日晚间公告，经核实，在本次股票交易异常波动期间（2026年2月3日、2月4日和2月5日），公司职工董事姚兰根据减持计划减持了40,000股公司股票，公司控股股东、实际控制人及其他董事、高级管理人员在公司本次股票交易异常波动期间不存在买卖公司股票的行为，公司亦未发现其他有可能对公司股价产生较大影响的重大事件。",2026-02-05 19:02:46,https://finance.eastmoney.com/a/202602053642916276.html
广东：将智能眼镜品类纳入补贴范围,【广东：将智能眼镜品类纳入补贴范围】《广东省2026年大规模设备更新和消费品以旧换新工作方案》正式发布。消费品以旧换新方面，广东将继续实施汽车报废更新和汽车置换更新补贴，实施家电以旧换新补贴，更强调绿色低碳、安全智能。支持数码和智能产品购新方面，在原有手机、平板、智能手表手环基础上，增加智能眼镜品类，单件销售价格不超过6000元，按产品销售价格的15%给予补贴。,2026-02-05 19:01:04,https://finance.eastmoney.com/a/202602053642912136.html
温氏股份：1月肉鸡销售收入29.73亿元 同比增长25.50%,"【温氏股份：1月肉鸡销售收入29.73亿元 同比增长25.50%】温氏股份2月5日晚间公告，公司2026年1月销售肉鸡11,169.71万只（含毛鸡、鲜品和熟食），收入29.73亿元，毛鸡销售均价11.72元/公斤，环比变动分别为2.24%、-3.13%、-9.50%，同比变动分别为18.03%、25.50%、2.81%。",2026-02-05 18:59:53,https://finance.eastmoney.com/a/202602053642912091.html
我国压缩空气储能技术研发获突破,【我国压缩空气储能技术研发获突破】记者从中国科学院工程热物理研究所获悉，该研究所近日在压缩空气储能技术研发方面取得重要突破。,2026-02-05 18:58:59,https://finance.eastmoney.com/a/202602053642911951.html
广东：将老旧小区加装电梯、养老机构、消防救援设施、检验检测等领域设备更新纳入支持范围,【广东：将老旧小区加装电梯、养老机构、消防救援设施、检验检测等领域设备更新纳入支持范围】《广东省2026年大规模设备更新和消费品以旧换新工作方案》正式发布。设备更新方面，总体延续2025年支持范围，将老旧小区加装电梯、养老机构、消防救援设施、检验检测等领域设备更新纳入支持范围。,2026-02-05 18:57:41,https://finance.eastmoney.com/a/202602053642911859.html
博世中国否认减员传闻：“5万多人公司，个别业务调整对任何公司都是正常的”,【博世中国否认减员传闻：“5万多人公司，个别业务调整对任何公司都是正常的”】就博世中国被曝开启减员的传闻，博世中国方面称，这次人员调整仅涉及个别部门，但却被误读为博世开启裁员，实际情况并非如此。“一个5万多人的公司，个别传统的业务线有一点调整，在汽车行业大变革的时代，对任何公司都是正常的。”,2026-02-05 18:55:38,https://finance.eastmoney.com/a/202602053642911344.html
虚拟币跌傻了！1.3万亿“血洗”！美国财长突传重磅！,【虚拟币跌傻了！1.3万亿“血洗”！美国财长突传重磅！】今日，比特币一度暴跌近8%，跌至7万美元附近。全球第二加密货币以太坊一度下跌超8%，跌破2100美元。,2026-02-05 18:55:22,https://finance.eastmoney.com/a/202602053642911463.html
上期所调整金、银、铜等期货相关合约涨跌停板幅度和交易保证金比例,【上期所调整铜等期货相关合约涨跌停板幅度和交易保证金比例】铜、铝、铅、锌、氧化铝期货已上市合约的涨跌停板幅度调整为10%，套保持仓交易保证金比例调整为11%，一般持仓交易保证金比例调整为12%。黄金期货已上市合约的涨跌停板幅度调整为17%，套保持仓交易保证金比例调整为18%，一般持仓交易保证金比例调整为19%。白银期货已上市合约的涨跌停板幅度调整为20%，套保持仓交易保证金比例调整为21%，一般持仓交易保证金比例调整为22%。,2026-02-05 18:52:59,https://finance.eastmoney.com/a/202602053642910210.html
