标题,摘要,发布时间,链接
南网储能：2025年净利同比预增47.98%~53.31%,【南网储能：2025年净利同比预增47.98%~53.31%】1月29日，南网储能(600995.SH)公告称，南网储能预计2025年度归属于上市公司股东的净利润为16.67亿元至17.27亿元，同比增加47.98%至53.31%。报告期内，公司调峰电站来水较好，发电量同比增加，售电收入及利润同比增加。,2026-01-29 15:46:16,https://finance.eastmoney.com/a/202601293635201576.html
光智科技：公司生产的锗可用于卫星太阳翼,【光智科技：公司生产的锗可用于卫星太阳翼】光智科技（300489.SZ）1月29日在投资者互动平台表示，公司生产的锗可用于卫星太阳翼。,2026-01-29 15:43:31,https://finance.eastmoney.com/a/202601293635196640.html
摩根士丹利上调Meta目标价,摩根士丹利将Meta目标价从750美元上调至825美元。,2026-01-29 15:42:42,https://finance.eastmoney.com/a/202601293635195975.html
外交部：芬兰总理访华行程密集成果丰硕,【外交部：芬兰总理访华行程密集成果丰硕】1月29日，外交部发言人郭嘉昆主持例行记者会。有记者就芬兰总理访华提问。郭嘉昆表示，中国和芬兰两国长期友好相处、互尊互信。奥尔波总理此行行程密集，成果丰硕。,2026-01-29 15:42:08,https://finance.eastmoney.com/a/202601293635194868.html
乐鑫科技：Wi-Fi 7芯片仍处于内部研发阶段,【乐鑫科技：Wi-Fi 7芯片仍处于内部研发阶段】乐鑫科技1月29日在互动平台表示，Wi-Fi7芯片仍处于内部研发阶段，相关细节暂未公开。后续将按照监管要求，定期披露募集资金使用及项目进展情况。,2026-01-29 15:41:46,https://finance.eastmoney.com/a/202601293635194638.html
柏诚股份：未持有长鑫存储股份,【柏诚股份：未持有长鑫存储股份】柏诚股份1月29日在互动平台表示，公司未持有长鑫存储股份。,2026-01-29 15:41:44,https://finance.eastmoney.com/a/202601293635194755.html
摩根士丹利下调特斯拉目标价,摩根士丹利将特斯拉目标价从425美元下调至415美元。,2026-01-29 15:41:32,https://finance.eastmoney.com/a/202601293635194527.html
飞猪：春节假期节中入住酒店预订量同比增长71%,【飞猪：春节假期节中入住酒店预订量同比增长71%】1月29日，飞猪数据显示，今年春节的节中出游趋势明显，节中入住的酒店预订量同比去年增长71%，大年初三为入住最高峰。此外，截至目前节中出行的机票预订量同比增长55%，租车预订量同比增长97%，包车游预订量同比增长111%。,2026-01-29 15:40:27,https://finance.eastmoney.com/a/202601293635195230.html
传音控股：2025年净利同比预减54.11%左右,【传音控股：2025年净利同比预减54.11%左右】传音控股(688036.SH)公告称，预计2025年归属于上市公司股东的净利润为25.46亿元左右，比上年同期减少30.03亿元左右，同比减少54.11%左右。,2026-01-29 15:38:57,https://finance.eastmoney.com/a/202601293635192590.html
百利电气：2025年全年净利润预计同比扭亏,【百利电气：2025年全年净利润预计同比扭亏】百利电气发布年度业绩预告，预计2025年全年归属于上市公司股东的净利润为8000万元—10000万元，预计同比扭亏；预计2025年全年归属于上市公司股东的扣除非经常性损益的净利润为7500万元—9500万元。,2026-01-29 15:38:29,https://finance.eastmoney.com/a/202601293635191611.html
中方是否给TikTok美国合资公司算法本地化许可？商务部回应,【中方是否给TikTok美国合资公司算法本地化许可？商务部回应】何咏前表示，为落实中美两国元首通话重要共识，此前双方经贸团队在相互尊重、平等协商基础上，就以合作方式妥善解决TikTok等问题达成基本框架共识。中国政府希望企业达成符合中国法律法规、利益平衡的解决方案。希望美方与中方相向而行，切实履行相应承诺，为中国企业在美持续稳定运营提供公平、开放、透明和非歧视的营商环境，推动中美经贸关系稳定、健康、可持续发展。,2026-01-29 15:35:34,https://finance.eastmoney.com/a/202601293635189355.html
德国拟打造欧洲第一个导弹探测卫星系统,【德国拟打造欧洲第一个导弹探测卫星系统】德国太空司令部司令迈克尔·特劳特表示，在欧洲谋求降低对美国依赖性的背景下，德国计划打造欧洲第一个导弹探测卫星系统。特劳特拒绝披露导弹探测卫星系统的建立期限或投资规模的任何细节。,2026-01-29 15:33:54,https://finance.eastmoney.com/a/202601293635187585.html
商务部：支持芬兰企业扩大优质产品和服务对华出口 欢迎芬兰企业继续积极投资中国,【商务部：支持芬兰企业扩大优质产品和服务对华出口 欢迎芬兰企业继续积极投资中国】商务部1月29日举行例行新闻发布会。有记者问：芬兰总理奥尔波近日对中国进行正式访问，此访中芬双方在经贸领域达成了哪些共识和成果？下一步如何推动中芬经贸合作走深走实？,2026-01-29 15:30:44,https://finance.eastmoney.com/a/202601293635185334.html
金饰克价两周暴涨近20% 一个金镯差价近万元,【金饰克价两周暴涨近20% 一个金镯差价近万元】克价从1400元左右涨到1700元以上，金饰在两周内“身价大增”。据记者初步估算，约在两周时间里，以周大福为代表的头部黄金品牌的金饰克价呈现出近20%的涨幅，这在过往金饰价格波动周期中属于较少见的情况。,2026-01-29 15:24:19,https://finance.eastmoney.com/a/202601293635181735.html
中国已批准进口首批英伟达H200人工智能芯片？外交部回应,【外媒称中国已批准进口首批英伟达H200芯片 外交部回应】1月29日，外交部发言人郭嘉昆主持例行记者会。法新社记者提问，据报道，中国已批准进口首批英伟达的H200人工智能芯片。外交部能否证实？对中美关系来说，此举释放了什么信号？“我们已多次就有关问题作出回应，具体问题建议向中方主管部门进行询问。”郭嘉昆说。,2026-01-29 15:24:11,https://finance.eastmoney.com/a/202601293635180131.html
国防部：所谓“击沉”中国军舰动画纯属自嗨,【国防部：所谓“击沉”中国军舰动画纯属自嗨】1月29日下午，国防部举行例行记者会，国防部新闻局副局长、国防部新闻发言人蒋斌大校答记者问。蒋斌：据我所知，瑞典军工企业已撤下相关视频，我们认为其他有关方也应做正确的事。实际上，对于此类自嗨式的行为，我想对他们说“You wish”。,2026-01-29 15:23:41,https://finance.eastmoney.com/a/202601293635179974.html
国债期货收盘多数上涨 30年期主力合约涨0.07%,【国债期货收盘多数上涨 30年期主力合约涨0.07%】国债期货收盘多数上涨，30年期主力合约涨0.07%，10年期主力合约涨0.06%，5年期主力合约涨0.01%，2年期主力合约收平。,2026-01-29 15:17:00,https://finance.eastmoney.com/a/202601293635175376.html
中金黄金旗下黄金冶炼公司增资,【中金黄金旗下黄金冶炼公司增资】近日，中金嵩县嵩原黄金冶炼有限责任公司发生工商变更，注册资本从3亿元增至约7.29亿元，增幅约143.14%。企查查显示，中金嵩县嵩原黄金冶炼有限责任公司成立于2008年12月，法定代表人为张建元，由中金黄金(600489)全资持股。,2026-01-29 15:16:12,https://finance.eastmoney.com/a/202601293635174710.html
万讯MVP37100核级智能阀门定位器通过振动疲劳试验和抗震试验,【万讯MVP37100核级智能阀门定位器通过振动疲劳试验和抗震试验】据万讯自控消息，近日，由万讯定位器产品开发团队自研的MVP37100核级智能阀门定位器，成功通过振动疲劳试验和抗震试验，为后续类似项目奠定坚实基础。,2026-01-29 15:16:11,https://finance.eastmoney.com/a/202601293635175734.html
起底水贝黄金平台“杰我睿”：资金往来用私人账户 原股东名下平台仍在运营,【起底水贝黄金平台“杰我睿”：资金往来用私人账户 原股东名下平台仍在运营】“杰我睿珠宝”的运营方为深圳市杰我睿珠宝有限公司，注册地位于广东省深圳市罗湖区水贝工业园区，这里是全国著名的黄金交易市场。该公司相关平台自2025年底起已陆续出现发货延迟、客服失联等异常。2026年1月20日，平台全面暂停提现与实物提货，超数万名消费者排队提现无果。,2026-01-29 15:15:37,https://finance.eastmoney.com/a/202601293635178383.html
国防部：中方将与俄方进一步加强战略协作,【国防部：中方将与俄方进一步加强战略协作】1月29日下午，国防部举行例行记者会，国防部新闻局副局长、国防部新闻发言人蒋斌大校答记者问。,2026-01-29 15:14:02,https://finance.eastmoney.com/a/202601293635172872.html
Meta在法兰克福市场上涨6.9% 特斯拉上涨1.8%,财报公布后，Meta在法兰克福市场股价上涨6.9%；特斯拉股价在法兰克福盘前上涨1.8%。,2026-01-29 15:11:33,https://finance.eastmoney.com/a/202601293635171893.html
