序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3293,300199,翰宇药业,19.68,-0.05,-0.01,231274.0,456302024.51,2.49,19.94,19.45,19.5,19.69,0.37,3.1,182.71,26.78,17382189492.0,14675333590.0,0.05,0.0,-9.68,9.94
3294,000099,中信海直,21.01,-0.05,-0.01,133416.0,281516573.49,2.19,21.3,20.84,20.9,21.02,0.43,1.72,49.97,2.98,16298930578.0,16298930578.0,0.0,0.05,-5.15,1.25
3295,605555,德昌股份,19.02,-0.05,-0.01,80425.0,152526171.0,2.15,19.18,18.77,18.95,19.03,0.83,1.66,42.64,3.05,9206993141.0,9206993141.0,0.0,0.32,8.75,3.93
3296,000623,吉林敖东,20.39,-0.05,-0.01,127410.0,259976663.17,1.03,20.52,20.31,20.33,20.4,0.82,1.07,8.09,0.8,24384306941.0,24284966983.0,0.1,0.2,-2.39,4.4
3297,600897,厦门空港,17.24,-0.06,-0.01,36252.0,62368299.0,1.74,17.38,17.08,17.14,17.25,0.63,0.87,14.03,1.52,7187942160.0,7187942160.0,0.06,0.12,7.75,0.23
3298,605333,沪光股份,31.27,-0.06,-0.02,29660.0,92793693.0,1.47,31.46,31.0,31.14,31.29,0.73,0.68,25.62,4.25,14510543496.0,13657988053.0,0.0,0.03,-8.62,4.83
3299,603153,上海建科,17.81,-0.06,-0.01,19533.0,34707529.0,0.84,17.83,17.68,17.77,17.82,0.91,1.45,52.05,2.01,7299626298.0,2404350000.0,0.06,0.17,-6.41,4.76
3300,002078,太阳纸业,15.8,-0.06,-0.01,190000.0,299060454.88,1.9,15.88,15.58,15.8,15.81,0.74,0.68,13.25,1.46,44153654880.0,43882843970.0,0.13,0.13,10.03,0.32
3301,000902,新洋丰,16.74,-0.06,-0.01,144034.0,240162866.0,2.51,16.84,16.42,16.68,16.75,0.96,1.26,11.47,1.82,21004241720.0,19130185026.0,0.12,0.12,14.11,7.17
3302,920242,建邦科技,30.9,-0.06,-0.02,3599.0,11135928.17,2.26,31.25,30.55,31.25,30.92,0.43,0.97,21.1,3.09,2033675775.0,1143129278.0,-0.03,0.16,-6.7,5.57
3303,688517,金冠电气,17.82,-0.06,-0.01,59485.0,105316749.0,3.65,17.97,17.32,17.85,17.83,0.68,4.35,30.86,3.04,2434446939.0,2434446939.0,0.06,0.0,13.36,14.3
3304,301281,科源制药,31.17,-0.06,-0.02,11104.0,34498075.46,2.4,31.53,30.78,30.91,31.19,0.34,1.61,80.44,2.46,3375399300.0,2146116840.0,0.0,0.03,-1.49,6.38
3305,688575,亚辉龙,14.84,-0.07,-0.01,52703.0,78316119.0,1.89,15.02,14.74,14.8,14.85,0.65,0.92,105.25,3.13,8479402372.0,8479402372.0,-0.13,-0.2,1.5,4.51
3306,688331,荣昌生物,103.53,-0.07,-0.07,58044.0,605961857.0,4.25,106.8,102.4,103.83,103.6,0.55,3.56,-79.59,24.81,58440353815.0,16885029885.0,-0.33,0.04,10.38,33.09
3307,603809,豪能股份,13.83,-0.07,-0.01,248766.0,344403021.0,3.03,14.04,13.62,13.65,13.84,0.58,2.7,35.95,3.48,12727594201.0,12727594201.0,0.0,-0.07,2.29,-3.62
3308,300130,新国都,27.67,-0.07,-0.02,147471.0,410498255.29,2.13,28.1,27.51,27.59,27.69,0.48,3.4,28.89,3.62,15697166733.0,12012994362.0,0.04,-0.04,1.06,-0.22
3309,920006,晟楠科技,27.6,-0.07,-0.02,9822.0,27082721.56,1.52,27.78,27.36,27.66,27.62,0.31,2.05,145.8,7.69,2491926720.0,1319200291.0,-0.11,0.04,-3.63,2.68
