日期,样本代码,样本简称,所属行业,总市值(亿元),权重（%）
2026-01-30,2479,富春环保,公用事业,46.97,0.01
2026-01-30,2482,广田集团,工业,63.77,0.01
2026-01-30,159,国际实业,能源,33.79,0.01
2026-01-30,333,美的集团,可选消费,5391.74,0.69
2026-01-30,400,许继电气,工业,303.86,0.04
2026-01-30,401,金隅冀东,原材料,132.65,0.01
2026-01-30,403,派林生物,医药卫生,130.11,0.02
2026-01-30,404,长虹华意,工业,48.79,0.01
2026-01-30,407,胜利股份,公用事业,46.56,0.01
2026-01-30,410,沈阳机床,工业,200.8,0.02
2026-01-30,411,英特集团,医药卫生,70.57,0.0
2026-01-30,415,渤海租赁,金融,275.21,0.03
2026-01-30,417,合百集团,可选消费,62.86,0.01
2026-01-30,419,通程控股,可选消费,35.5,0.0
2026-01-30,420,吉林化纤,原材料,118.52,0.02
2026-01-30,421,南京公用,公用事业,41.24,0.0
2026-01-30,422,湖北宜化,原材料,180.54,0.02
2026-01-30,423,东阿阿胶,医药卫生,326.05,0.04
2026-01-30,425,徐工机械,工业,1262.27,0.17
2026-01-30,426,兴业银锡,原材料,1092.37,0.15
2026-01-30,428,华天酒店,可选消费,36.58,0.0
2026-01-30,429,粤高速Ａ,工业,212.36,0.01
2026-01-30,498,山东路桥,工业,98.27,0.01
2026-01-30,501,武商集团,可选消费,81.44,0.01
2026-01-30,2195,岩山科技,信息技术,556.85,0.09
2026-01-30,2198,嘉应制药,医药卫生,35.22,0.01
2026-01-30,2201,九鼎新材,原材料,88.43,0.01
2026-01-30,2203,海亮股份,原材料,334.83,0.04
2026-01-30,2206,海 利 得,原材料,86.0,0.01
2026-01-30,2207,准油股份,能源,29.14,0.0
2026-01-30,2208,合肥城建,房地产,111.98,0.01
2026-01-30,2209,达 意 隆,工业,31.19,0.0
2026-01-30,2215,诺 普 信,原材料,116.24,0.01
2026-01-30,2217,合力泰,信息技术,228.87,0.02
2026-01-30,2221,东华能源,能源,136.18,0.01
2026-01-30,2222,福晶科技,信息技术,330.02,0.05
2026-01-30,2224,三 力 士,原材料,42.49,0.01
2026-01-30,2225,濮耐股份,原材料,77.9,0.01
2026-01-30,2226,江南化工,原材料,164.23,0.01
2026-01-30,2227,奥 特 迅,工业,26.66,0.0
2026-01-30,514,渝 开 发,房地产,42.86,0.0
2026-01-30,517,荣安地产,房地产,58.27,0.0
2026-01-30,520,凤凰航运,工业,43.92,0.01
2026-01-30,521,长虹美菱,可选消费,58.64,0.01
2026-01-30,525,红太阳,原材料,75.45,0.01
2026-01-30,526,学大教育,可选消费,46.37,0.01
2026-01-30,528,柳    工,工业,231.93,0.03
2026-01-30,530,冰山冷热,工业,41.16,0.01
2026-01-30,531,穗恒运Ａ,公用事业,67.27,0.01
2026-01-30,538,云南白药,医药卫生,992.23,0.08
2026-01-30,539,粤电力Ａ,公用事业,217.7,0.01
2026-01-30,541,佛山照明,可选消费,77.38,0.01
2026-01-30,543,皖能电力,公用事业,183.84,0.01
2026-01-30,545,金浦钛业,原材料,29.11,0.0
2026-01-30,548,湖南投资,工业,28.75,0.0
2026-01-30,550,江铃汽车,可选消费,93.93,0.01
2026-01-30,2342,巨力索具,工业,141.12,0.02
2026-01-30,2344,海宁皮城,房地产,63.62,0.01
2026-01-30,2345,潮宏基,可选消费,113.64,0.01
2026-01-30,2346,柘中股份,工业,88.27,0.01
2026-01-30,2347,泰尔股份,工业,47.9,0.01
2026-01-30,2348,高乐股份,可选消费,57.21,0.01
2026-01-30,2349,精华制药,医药卫生,63.39,0.01
2026-01-30,2350,北京科锐,工业,50.76,0.01
2026-01-30,2351,漫步者,可选消费,109.54,0.01
2026-01-30,2352,顺丰控股,工业,1799.79,0.17
2026-01-30,2353,杰瑞股份,能源,903.55,0.1
2026-01-30,2355,兴民智通,可选消费,39.84,0.01
2026-01-30,2357,富临运业,工业,40.88,0.01
2026-01-30,2358,森源电气,工业,63.69,0.01
2026-01-30,2360,同德化工,原材料,21.09,0.0
2026-01-30,2361,神剑股份,原材料,113.17,0.02
2026-01-30,2363,隆基机械,可选消费,37.81,0.0
2026-01-30,2364,中恒电气,工业,176.96,0.02
2026-01-30,2365,永安药业,医药卫生,43.7,0.01
2026-01-30,2368,太极股份,信息技术,150.76,0.02
2026-01-30,2370,亚太药业,医药卫生,53.02,0.01
2026-01-30,2372,伟星新材,工业,198.21,0.01
2026-01-30,2373,千方科技,信息技术,195.15,0.02
2026-01-30,2374,中锐股份,原材料,36.79,0.01
2026-01-30,2375,亚厦股份,工业,56.41,0.0
2026-01-30,2376,新北洋,信息技术,63.55,0.01
2026-01-30,552,甘肃能化,能源,132.72,0.01
2026-01-30,553,安道麦A,原材料,135.63,0.0
2026-01-30,554,泰山石油,能源,40.68,0.01
2026-01-30,555,神州信息,信息技术,157.88,0.02
2026-01-30,557,西部创业,工业,76.42,0.01
2026-01-30,559,万向钱潮,可选消费,571.24,0.04
2026-01-30,560,我爱我家,房地产,78.67,0.01
2026-01-30,563,陕国投Ａ,金融,183.08,0.02
2026-01-30,564,供销大集,可选消费,438.81,0.05
2026-01-30,565,渝三峡Ａ,原材料,35.86,0.0
2026-01-30,566,海南海药,医药卫生,83.81,0.01
2026-01-30,570,苏常柴Ａ,工业,32.95,0.0
2026-01-30,572,海马汽车,可选消费,113.15,0.01
2026-01-30,581,威孚高科,可选消费,170.08,0.02
2026-01-30,582,北部湾港,工业,239.74,0.01
2026-01-30,589,贵州轮胎,可选消费,80.06,0.01
2026-01-30,590,古汉医药,医药卫生,26.82,0.0
2026-01-30,591,太阳能,公用事业,210.82,0.03
2026-01-30,592,平潭发展,原材料,199.94,0.03
2026-01-30,593,德龙汇能,公用事业,52.72,0.01
2026-01-30,597,东北制药,医药卫生,75.64,0.01
2026-01-30,599,青岛双星,可选消费,56.93,0.01
2026-01-30,600,建投能源,公用事业,157.42,0.01
2026-01-30,2483,润邦股份,工业,65.16,0.01
2026-01-30,2521,齐峰新材,原材料,47.72,0.01
2026-01-30,2522,浙江众成,原材料,53.98,0.01
2026-01-30,2523,天桥起重,工业,64.03,0.01
2026-01-30,2526,山东矿机,工业,67.92,0.01
2026-01-30,2533,金杯电工,工业,97.03,0.01
2026-01-30,2534,西子洁能,工业,142.44,0.01
2026-01-30,2535,林州重机,工业,30.78,0.0
2026-01-30,2536,飞龙股份,可选消费,167.84,0.02
2026-01-30,2537,海联金汇,可选消费,102.73,0.01
2026-01-30,2538,司尔特,原材料,63.5,0.01
2026-01-30,2539,云图控股,原材料,176.33,0.02
2026-01-30,2540,亚太科技,原材料,96.84,0.01
2026-01-30,2541,鸿路钢构,工业,156.08,0.01
2026-01-30,2542,中化岩土,工业,61.59,0.01
2026-01-30,2546,新联电子,工业,71.81,0.01
2026-01-30,2548,金新农,主要消费,55.57,0.01
2026-01-30,2550,千红制药,医药卫生,101.74,0.01
2026-01-30,2554,惠博普,能源,55.08,0.01
2026-01-30,601,韶能股份,公用事业,54.6,0.01
2026-01-30,603,盛达资源,原材料,421.02,0.05
2026-01-30,610,西安旅游,可选消费,29.71,0.0
2026-01-30,612,焦作万方,原材料,161.78,0.02
2026-01-30,617,中油资本,金融,1136.52,0.04
2026-01-30,619,海螺新材,工业,28.76,0.0
2026-01-30,620,盈新发展,房地产,197.29,0.02
2026-01-30,625,长安汽车,可选消费,919.77,0.09
2026-01-30,626,远大控股,工业,40.23,0.0
2026-01-30,628,高新发展,工业,178.61,0.02
2026-01-30,629,钒钛股份,原材料,355.84,0.03
2026-01-30,630,铜陵有色,原材料,1108.96,0.12
2026-01-30,631,顺发恒能,房地产,99.4,0.01
2026-01-30,632,三木集团,工业,23.42,0.0
2026-01-30,633,合金投资,原材料,29.81,0.0
2026-01-30,635,英 力 特,原材料,40.24,0.0
2026-01-30,636,风华高科,信息技术,237.19,0.03
2026-01-30,637,茂化实华,能源,24.95,0.0
2026-01-30,650,仁和药业,医药卫生,83.86,0.01
2026-01-30,651,格力电器,可选消费,2167.74,0.31
2026-01-30,652,泰达股份,工业,66.7,0.01
2026-01-30,655,金岭矿业,原材料,62.87,0.01
2026-01-30,2228,合兴包装,原材料,53.27,0.0
2026-01-30,2229,鸿博股份,工业,77.06,0.01
2026-01-30,2230,科大讯飞,信息技术,1377.86,0.21
2026-01-30,2233,塔牌集团,原材料,117.08,0.01
2026-01-30,2234,民和股份,主要消费,33.08,0.0
2026-01-30,2235,安妮股份,原材料,56.45,0.01
2026-01-30,2236,大华股份,信息技术,623.17,0.07
2026-01-30,2237,恒邦股份,原材料,295.43,0.03
2026-01-30,2239,奥特佳,可选消费,106.65,0.02
2026-01-30,2242,九阳股份,可选消费,79.74,0.0
2026-01-30,2243,力合科创,原材料,131.59,0.01
2026-01-30,2244,滨江集团,房地产,361.24,0.02
2026-01-30,2248,华东数控,工业,36.35,0.01
2026-01-30,2251,步步高,主要消费,137.39,0.02
2026-01-30,2252,上海莱士,医药卫生,418.19,0.06
2026-01-30,2254,泰和新材,原材料,111.93,0.01
2026-01-30,2255,海陆重工,工业,100.7,0.01
2026-01-30,2258,利尔化学,原材料,142.48,0.02
2026-01-30,2259,升达林业,公用事业,44.54,0.01
2026-01-30,2262,恩华药业,医药卫生,240.03,0.02
2026-01-30,2263,大东南,原材料,65.37,0.01
2026-01-30,659,珠海中富,原材料,61.2,0.01
2026-01-30,661,长春高新,医药卫生,391.21,0.05
2026-01-30,672,上峰水泥,原材料,139.88,0.01
2026-01-30,677,恒天海龙,原材料,35.51,0.0
2026-01-30,678,襄阳轴承,可选消费,65.22,0.01
2026-01-30,679,大连友谊,可选消费,25.34,0.0
2026-01-30,680,山推股份,工业,186.17,0.02
2026-01-30,682,东方电子,工业,176.44,0.02
2026-01-30,683,博源化工,原材料,314.07,0.04
2026-01-30,685,中山公用,公用事业,182.18,0.01
2026-01-30,686,东北证券,金融,212.51,0.02
2026-01-30,688,国城矿业,原材料,317.6,0.02
2026-01-30,690,宝新能源,公用事业,97.26,0.02
2026-01-30,692,惠天热电,公用事业,20.14,0.0
2026-01-30,700,模塑科技,可选消费,123.01,0.01
2026-01-30,300778,新城市,工业,28.57,0.0
2026-01-30,2378,章源钨业,原材料,273.8,0.02
2026-01-30,2379,宏桥控股,原材料,3945.82,0.05
2026-01-30,2381,双箭股份,原材料,29.14,0.0
2026-01-30,2384,东山精密,信息技术,1416.93,0.18
2026-01-30,2385,大北农,主要消费,197.37,0.03
2026-01-30,2386,天原股份,原材料,78.75,0.01
2026-01-30,2387,维信诺,信息技术,121.38,0.01
2026-01-30,2388,新亚制程,信息技术,27.58,0.0
2026-01-30,2389,航天彩虹,工业,230.57,0.03
2026-01-30,2391,长青股份,原材料,42.42,0.01
2026-01-30,2392,北京利尔,原材料,98.45,0.01
2026-01-30,2393,力生制药,医药卫生,56.67,0.01
2026-01-30,2394,联发股份,可选消费,46.61,0.01
2026-01-30,2397,梦洁股份,可选消费,33.28,0.0
2026-01-30,2398,垒知集团,原材料,41.04,0.01
2026-01-30,2402,和而泰,信息技术,347.02,0.06
2026-01-30,2403,爱仕达,可选消费,41.25,0.0
2026-01-30,2405,四维图新,信息技术,250.58,0.04
2026-01-30,2406,远东传动,可选消费,59.22,0.01
2026-01-30,2408,齐翔腾达,原材料,167.73,0.01
2026-01-30,2484,江海股份,信息技术,260.94,0.03
2026-01-30,2487,大金重工,工业,391.77,0.04
2026-01-30,2488,金固股份,可选消费,119.35,0.01
2026-01-30,2489,浙江永强,可选消费,82.21,0.01
2026-01-30,2492,恒基达鑫,能源,36.81,0.0
2026-01-30,2498,汉缆股份,工业,170.66,0.01
2026-01-30,2500,山西证券,金融,217.18,0.02
2026-01-30,2501,利源股份,原材料,83.07,0.01
2026-01-30,2508,老板电器,可选消费,198.34,0.02
2026-01-30,2510,天汽模,可选消费,72.99,0.01
2026-01-30,2511,中顺洁柔,主要消费,104.84,0.01
2026-01-30,2518,科士达,工业,327.09,0.02
2026-01-30,2520,日发精机,工业,44.26,0.01
2026-01-30,701,厦门信达,工业,41.64,0.0
2026-01-30,702,正虹科技,主要消费,24.26,0.0
2026-01-30,703,恒逸石化,原材料,435.2,0.04
2026-01-30,705,浙江震元,医药卫生,31.54,0.0
2026-01-30,707,双环科技,原材料,38.88,0.0
2026-01-30,708,中信特钢,原材料,828.74,0.03
2026-01-30,709,河钢股份,原材料,259.46,0.02
2026-01-30,710,贝瑞基因,医药卫生,42.6,0.01
2026-01-30,712,锦龙股份,金融,106.0,0.01
2026-01-30,715,中兴商业,可选消费,34.32,0.0
