,,,市值,市值,市值,市值,市值,市值,市值,市值
,,,count,mean,std,min,25%,50%,75%,max
行业,行业2,行业3,,,,,,,,
有色金属,工业金属,铝,31.0,395.37,796.98,23.93,55.94,95.7,229.76,3909.34
有色金属,贵金属,黄金,10.0,729.94,690.76,177.85,240.76,466.99,852.49,2250.11
有色金属,金属新材料,其他金属新材料,16.0,113.09,84.53,29.42,52.02,84.32,151.32,326.31
有色金属,金属新材料,磁性材料,14.0,139.74,118.56,38.66,77.04,113.69,159.13,508.56
机械设备,专用设备,其他专用设备,79.0,100.17,156.19,17.71,35.01,56.66,102.92,1071.97
机械设备,专用设备,印刷包装机械,10.0,60.36,58.04,25.22,32.91,43.12,50.0,221.18
机械设备,专用设备,楼宇设备,14.0,71.21,67.21,23.68,31.26,55.27,76.42,285.24
机械设备,专用设备,纺织服装设备,12.0,66.71,54.24,30.47,35.38,44.56,63.48,209.91
机械设备,专用设备,能源及重型设备,54.0,110.18,153.06,23.98,42.61,59.66,82.67,964.47
机械设备,工程机械,工程机械器件,9.0,233.79,491.61,39.55,41.35,47.72,115.13,1537.65
机械设备,工程机械,工程机械整机,19.0,346.94,533.98,40.36,64.47,157.71,283.15,2122.21
机械设备,自动化设备,其他自动化设备,24.0,104.92,139.39,19.53,44.38,59.04,133.59,712.0
机械设备,自动化设备,工控设备,27.0,186.43,393.57,23.17,49.85,82.57,139.62,2042.06
机械设备,自动化设备,机器人,16.0,119.36,105.16,25.59,44.91,75.62,151.44,412.47
机械设备,自动化设备,激光设备,10.0,214.21,244.28,36.49,75.84,123.4,175.54,785.8
机械设备,轨交设备Ⅱ,轨交设备Ⅲ,31.0,157.09,345.91,22.36,36.44,50.75,78.26,1808.03
机械设备,通用设备,仪器仪表,53.0,68.55,64.2,18.5,36.07,43.79,70.88,359.44
机械设备,通用设备,其他通用设备,46.0,88.13,90.85,16.81,38.8,50.59,90.31,427.03
机械设备,通用设备,制冷空调设备,17.0,83.8,56.25,23.88,42.55,58.69,135.66,193.87
机械设备,通用设备,机床工具,18.0,80.66,44.69,34.11,47.34,67.24,95.56,197.09
机械设备,通用设备,磨具磨料,12.0,98.87,69.99,25.06,43.86,90.42,122.78,261.27
机械设备,通用设备,金属制品,71.0,110.88,139.05,15.67,46.3,67.01,96.18,719.71
汽车,乘用车,综合乘用车,5.0,1081.22,667.2,113.81,800.47,1097.36,1639.23,1755.22
汽车,商用车,商用载客车,5.0,189.63,283.19,22.08,45.1,67.06,122.04,691.86
汽车,商用车,商用载货车,8.0,316.75,346.79,96.18,149.46,209.36,261.92,1155.56
汽车,摩托车及其他,其他运输设备,7.0,68.38,81.41,24.45,28.62,38.9,53.97,250.14
