行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
857431.SI,地面兵装Ⅲ,地面兵装Ⅱ,12,100.9,75.71,3.7,0.43
850935.SI,航海装备Ⅲ,航海装备Ⅱ,10,80.22,41.87,2.13,0.43
857451.SI,军工电子Ⅲ,军工电子Ⅱ,64,101.21,89.75,6.03,0.67
850702.SI,安防设备,计算机设备,24,26.96,22.5,3.15,3.11
850703.SI,其他计算机设备,计算机设备,60,53.97,48.84,4.23,0.77
852226.SI,IT服务Ⅲ,IT服务Ⅱ,119,78.23,77.8,4.72,0.63
851041.SI,垂直应用软件,软件开发,97,85.11,78.44,6.78,0.62
851042.SI,横向通用软件,软件开发,35,127.2,100.27,6.6,0.47
857641.SI,游戏Ⅲ,游戏Ⅱ,26,40.9,29.99,4.39,1.6
857651.SI,营销代理,广告营销,24,109.98,114.0,4.46,0.4
857661.SI,影视动漫制作,影视院线,15,124.29,40.82,3.82,0.53
857674.SI,门户网站,数字媒体,8,102.63,97.85,5.93,0.6
857691.SI,教育出版,出版,10,15.91,13.33,1.37,4.37
857692.SI,大众出版,出版,19,26.34,25.16,1.55,2.0
859951.SI,电视广播Ⅲ,电视广播Ⅱ,14,42.61,41.43,1.45,1.67
852213.SI,通信工程及服务,通信服务,19,150.37,230.68,3.91,0.21
852214.SI,通信应用增值服务,通信服务,17,86.61,42.63,5.73,0.47
851024.SI,通信网络设备及器件,通信设备,35,86.18,64.14,10.0,0.35
851025.SI,通信线缆及配套,通信设备,11,55.52,53.49,4.02,0.56
851026.SI,通信终端及配件,通信设备,28,44.86,44.02,5.42,1.45
851027.SI,其他通信设备,通信设备,11,107.8,82.71,5.07,0.46
859511.SI,动力煤,煤炭开采,18,12.1,14.5,1.88,6.1
859512.SI,焦煤,煤炭开采,12,13.23,32.34,0.9,4.43
859521.SI,焦炭Ⅲ,焦炭Ⅱ,7,0.0,0.0,0.0,0.43
859621.SI,油田服务,油服工程,7,23.34,21.49,2.14,2.03
859622.SI,油气及炼化工程,油服工程,6,20.84,23.29,1.05,2.24
859631.SI,炼油化工,炼化及贸易,10,13.7,15.09,1.21,3.84
859632.SI,油品石化贸易,炼化及贸易,6,18.92,25.3,1.88,6.59
859633.SI,其他石化,炼化及贸易,14,44.53,34.91,1.41,0.56
859711.SI,大气治理,环境治理,6,373.57,480.15,2.13,0.72
859712.SI,水务及水治理,环境治理,51,18.78,20.75,1.34,2.15
859713.SI,固废治理,环境治理,34,22.42,20.91,1.83,1.81
859714.SI,综合环境治理,环境治理,15,31.95,37.96,2.17,1.59
859721.SI,环保设备Ⅲ,环保设备Ⅱ,27,35.83,35.42,2.02,1.56
859811.SI,生活用纸,个护用品,8,37.4,31.52,2.31,1.57
859821.SI,化妆品制造及其他,化妆品,6,27.81,57.39,3.02,1.12
859822.SI,品牌化妆品,化妆品,8,27.54,30.08,3.55,1.96
